id,model,name,ref,date,period_id:id,journal_id:id
str,str,str,str,str,ref,ref
am_cicsa_19000000248,account.move,Comp-19000000248,Asientos Transacciones Abril,2014-04-01,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000249,account.move,Comp-19000000249,Asientos Transacciones Abril,2014-04-02,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000250,account.move,Comp-19000000250,Asientos Transacciones Abril,2014-04-02,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000251,account.move,Comp-19000000251,Asientos Transacciones Abril,2014-04-03,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000252,account.move,Comp-19000000252,Asientos Transacciones Abril,2014-04-03,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000253,account.move,Comp-19000000253,Asientos Transacciones Abril,2014-04-03,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000254,account.move,Comp-19000000254,Asientos Transacciones Abril,2014-04-03,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000255,account.move,Comp-19000000255,Asientos Transacciones Abril,2014-04-09,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000256,account.move,Comp-19000000256,Asientos Transacciones Abril,2014-04-09,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000257,account.move,Comp-19000000257,Asientos Transacciones Abril,2014-04-09,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000258,account.move,Comp-19000000258,Asientos Transacciones Abril,2014-04-09,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000259,account.move,Comp-19000000259,Asientos Transacciones Abril,2014-04-09,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000260,account.move,Comp-19000000260,Asientos Transacciones Abril,2014-04-09,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000261,account.move,Comp-19000000261,Asientos Transacciones Abril,2014-04-09,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000262,account.move,Comp-19000000262,Asientos Transacciones Abril,2014-04-09,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000263,account.move,Comp-19000000263,Asientos Transacciones Abril,2014-04-09,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000264,account.move,Comp-19000000264,Asientos Transacciones Abril,2014-04-09,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000265,account.move,Comp-19000000265,Asientos Transacciones Abril,2014-04-09,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000266,account.move,Comp-19000000266,Asientos Transacciones Abril,2014-04-09,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000267,account.move,Comp-19000000267,Asientos Transacciones Abril,2014-04-09,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000268,account.move,Comp-19000000268,Asientos Transacciones Abril,2014-04-09,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000269,account.move,Comp-19000000269,Asientos Transacciones Abril,2014-04-09,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000270,account.move,Comp-19000000270,Asientos Transacciones Abril,2014-04-09,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000271,account.move,Comp-19000000271,Asientos Transacciones Abril,2014-04-09,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000272,account.move,Comp-19000000272,Asientos Transacciones Abril,2014-04-09,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000273,account.move,Comp-19000000273,Asientos Transacciones Abril,2014-04-09,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000274,account.move,Comp-19000000274,Asientos Transacciones Abril,2014-04-10,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000275,account.move,Comp-19000000275,Asientos Transacciones Abril,2014-04-10,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
am_cicsa_19000000276,account.move,Comp-19000000276,Asientos Transacciones Abril,2014-04-10,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
