id,model,name,ref,date,period_id:id,journal_id:id
str,str,str,str,str,ref,ref
am_cicsa_19000000675,account.move,Comp-19000000675,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000676,account.move,Comp-19000000676,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000677,account.move,Comp-19000000677,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000678,account.move,Comp-19000000678,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000679,account.move,Comp-19000000679,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000680,account.move,Comp-19000000680,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000681,account.move,Comp-19000000681,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000682,account.move,Comp-19000000682,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000683,account.move,Comp-19000000683,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000684,account.move,Comp-19000000684,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000685,account.move,Comp-19000000685,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000686,account.move,Comp-19000000686,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000687,account.move,Comp-19000000687,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000688,account.move,Comp-19000000688,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000689,account.move,Comp-19000000689,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000690,account.move,Comp-19000000690,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000691,account.move,Comp-19000000691,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000692,account.move,Comp-19000000692,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000693,account.move,Comp-19000000693,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000173,account.move,Comp-20000000173,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000174,account.move,Comp-20000000174,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000175,account.move,Comp-20000000175,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000176,account.move,Comp-20000000176,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000177,account.move,Comp-20000000177,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000178,account.move,Comp-20000000178,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000179,account.move,Comp-20000000179,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000180,account.move,Comp-20000000180,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000181,account.move,Comp-20000000181,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000182,account.move,Comp-20000000182,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000183,account.move,Comp-20000000183,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000184,account.move,Comp-20000000184,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000185,account.move,Comp-20000000185,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000186,account.move,Comp-20000000186,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000187,account.move,Comp-20000000187,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000188,account.move,Comp-20000000188,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000189,account.move,Comp-20000000189,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000190,account.move,Comp-20000000190,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000694,account.move,Comp-19000000694,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000191,account.move,Comp-20000000191,Asientos Transacciones Agosto,2014-08-01,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000695,account.move,Comp-19000000695,Asientos Transacciones Agosto,2014-08-04,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000696,account.move,Comp-19000000696,Asientos Transacciones Agosto,2014-08-04,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000697,account.move,Comp-19000000697,Asientos Transacciones Agosto,2014-08-04,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000698,account.move,Comp-19000000698,Asientos Transacciones Agosto,2014-08-04,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000192,account.move,Comp-20000000192,Asientos Transacciones Agosto,2014-08-04,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000699,account.move,Comp-19000000699,Asientos Transacciones Agosto,2014-08-04,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000700,account.move,Comp-19000000700,Asientos Transacciones Agosto,2014-08-04,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000701,account.move,Comp-19000000701,Asientos Transacciones Agosto,2014-08-04,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000702,account.move,Comp-19000000702,Asientos Transacciones Agosto,2014-08-04,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000703,account.move,Comp-19000000703,Asientos Transacciones Agosto,2014-08-04,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000704,account.move,Comp-19000000704,Asientos Transacciones Agosto,2014-08-04,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000705,account.move,Comp-19000000705,Asientos Transacciones Agosto,2014-08-04,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000706,account.move,Comp-19000000706,Asientos Transacciones Agosto,2014-08-04,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000707,account.move,Comp-19000000707,Asientos Transacciones Agosto,2014-08-04,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000708,account.move,Comp-19000000708,Asientos Transacciones Agosto,2014-08-04,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000709,account.move,Comp-19000000709,Asientos Transacciones Agosto,2014-08-04,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000710,account.move,Comp-19000000710,Asientos Transacciones Agosto,2014-08-05,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000193,account.move,Comp-20000000193,Asientos Transacciones Agosto,2014-08-05,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000711,account.move,Comp-19000000711,Asientos Transacciones Agosto,2014-08-06,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000712,account.move,Comp-19000000712,Asientos Transacciones Agosto,2014-08-06,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000713,account.move,Comp-19000000713,Asientos Transacciones Agosto,2014-08-06,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000714,account.move,Comp-19000000714,Asientos Transacciones Agosto,2014-08-06,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000715,account.move,Comp-19000000715,Asientos Transacciones Agosto,2014-08-06,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000716,account.move,Comp-19000000716,Asientos Transacciones Agosto,2014-08-06,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000717,account.move,Comp-19000000717,Asientos Transacciones Agosto,2014-08-06,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000718,account.move,Comp-19000000718,Asientos Transacciones Agosto,2014-08-07,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000194,account.move,Comp-20000000194,Asientos Transacciones Agosto,2014-08-07,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000719,account.move,Comp-19000000719,Asientos Transacciones Agosto,2014-08-08,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000720,account.move,Comp-19000000720,Asientos Transacciones Agosto,2014-08-08,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000721,account.move,Comp-19000000721,Asientos Transacciones Agosto,2014-08-08,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000722,account.move,Comp-19000000722,Asientos Transacciones Agosto,2014-08-11,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000723,account.move,Comp-19000000723,Asientos Transacciones Agosto,2014-08-11,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000195,account.move,Comp-20000000195,Asientos Transacciones Agosto,2014-08-11,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000196,account.move,Comp-20000000196,Asientos Transacciones Agosto,2014-08-11,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000724,account.move,Comp-19000000724,Asientos Transacciones Agosto,2014-08-11,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000197,account.move,Comp-20000000197,Asientos Transacciones Agosto,2014-08-11,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000198,account.move,Comp-20000000198,Asientos Transacciones Agosto,2014-08-11,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_21000000023,account.move,Comp-21000000023,Asientos Transacciones Agosto,2014-08-11,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000725,account.move,Comp-19000000725,Asientos Transacciones Agosto,2014-08-12,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000199,account.move,Comp-20000000199,Asientos Transacciones Agosto,2014-08-12,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000726,account.move,Comp-19000000726,Asientos Transacciones Agosto,2014-08-12,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000727,account.move,Comp-19000000727,Asientos Transacciones Agosto,2014-08-12,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000728,account.move,Comp-19000000728,Asientos Transacciones Agosto,2014-08-12,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000729,account.move,Comp-19000000729,Asientos Transacciones Agosto,2014-08-12,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000730,account.move,Comp-19000000730,Asientos Transacciones Agosto,2014-08-13,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000731,account.move,Comp-19000000731,Asientos Transacciones Agosto,2014-08-13,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000200,account.move,Comp-20000000200,Asientos Transacciones Agosto,2014-08-13,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000201,account.move,Comp-20000000201,Asientos Transacciones Agosto,2014-08-13,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000732,account.move,Comp-19000000732,Asientos Transacciones Agosto,2014-08-13,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000733,account.move,Comp-19000000733,Asientos Transacciones Agosto,2014-08-13,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000202,account.move,Comp-20000000202,Asientos Transacciones Agosto,2014-08-13,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000734,account.move,Comp-19000000734,Asientos Transacciones Agosto,2014-08-13,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_20000000203,account.move,Comp-20000000203,Asientos Transacciones Agosto,2014-08-15,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000735,account.move,Comp-19000000735,Asientos Transacciones Agosto,2014-08-18,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000736,account.move,Comp-19000000736,Asientos Transacciones Agosto,2014-08-18,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000737,account.move,Comp-19000000737,Asientos Transacciones Agosto,2014-08-18,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000738,account.move,Comp-19000000738,Asientos Transacciones Agosto,2014-08-18,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000739,account.move,Comp-19000000739,Asientos Transacciones Agosto,2014-08-18,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000740,account.move,Comp-19000000740,Asientos Transacciones Agosto,2014-08-18,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000741,account.move,Comp-19000000741,Asientos Transacciones Agosto,2014-08-18,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000742,account.move,Comp-19000000742,Asientos Transacciones Agosto,2014-08-18,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000743,account.move,Comp-19000000743,Asientos Transacciones Agosto,2014-08-18,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000744,account.move,Comp-19000000744,Asientos Transacciones Agosto,2014-08-19,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000745,account.move,Comp-19000000745,Asientos Transacciones Agosto,2014-08-19,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000746,account.move,Comp-19000000746,Asientos Transacciones Agosto,2014-08-19,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000747,account.move,Comp-19000000747,Asientos Transacciones Agosto,2014-08-19,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000748,account.move,Comp-19000000748,Asientos Transacciones Agosto,2014-08-19,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000749,account.move,Comp-19000000749,Asientos Transacciones Agosto,2014-08-21,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000750,account.move,Comp-19000000750,Asientos Transacciones Agosto,2014-08-21,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000751,account.move,Comp-19000000751,Asientos Transacciones Agosto,2014-08-21,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000752,account.move,Comp-19000000752,Asientos Transacciones Agosto,2014-08-21,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
am_cicsa_19000000753,account.move,Comp-19000000753,Asientos Transacciones Agosto,2014-08-21,cicsa_data.ap_cicsa_08,cicsa_data.aj_cicsa_general
