id,model,name,ref,date,period_id:id,journal_id:id
str,str,str,str,str,ref,ref
am_cicsa_19000000060,account.move,Comp-19000000060,Asientos Transacciones Febrero,2014-02-03,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000061,account.move,Comp-19000000061,Asientos Transacciones Febrero,2014-02-03,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000062,account.move,Comp-19000000062,Asientos Transacciones Febrero,2014-02-03,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000063,account.move,Comp-19000000063,Asientos Transacciones Febrero,2014-02-06,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000064,account.move,Comp-19000000064,Asientos Transacciones Febrero,2014-02-06,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000065,account.move,Comp-19000000065,Asientos Transacciones Febrero,2014-02-06,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000066,account.move,Comp-19000000066,Asientos Transacciones Febrero,2014-02-06,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000067,account.move,Comp-19000000067,Asientos Transacciones Febrero,2014-02-06,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000068,account.move,Comp-19000000068,Asientos Transacciones Febrero,2014-02-06,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000069,account.move,Comp-19000000069,Asientos Transacciones Febrero,2014-02-06,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000070,account.move,Comp-19000000070,Asientos Transacciones Febrero,2014-02-06,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000071,account.move,Comp-19000000071,Asientos Transacciones Febrero,2014-02-06,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000072,account.move,Comp-19000000072,Asientos Transacciones Febrero,2014-02-06,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000073,account.move,Comp-19000000073,Asientos Transacciones Febrero,2014-02-06,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000074,account.move,Comp-19000000074,Asientos Transacciones Febrero,2014-02-06,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000075,account.move,Comp-19000000075,Asientos Transacciones Febrero,2014-02-06,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000076,account.move,Comp-19000000076,Asientos Transacciones Febrero,2014-02-06,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000077,account.move,Comp-19000000077,Asientos Transacciones Febrero,2014-02-06,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000078,account.move,Comp-19000000078,Asientos Transacciones Febrero,2014-02-07,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000079,account.move,Comp-19000000079,Asientos Transacciones Febrero,2014-02-07,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000080,account.move,Comp-19000000080,Asientos Transacciones Febrero,2014-02-07,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000081,account.move,Comp-19000000081,Asientos Transacciones Febrero,2014-02-07,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000082,account.move,Comp-19000000082,Asientos Transacciones Febrero,2014-02-07,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000083,account.move,Comp-19000000083,Asientos Transacciones Febrero,2014-02-07,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000084,account.move,Comp-19000000084,Asientos Transacciones Febrero,2014-02-07,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000085,account.move,Comp-19000000085,Asientos Transacciones Febrero,2014-02-07,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000086,account.move,Comp-19000000086,Asientos Transacciones Febrero,2014-02-07,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000087,account.move,Comp-19000000087,Asientos Transacciones Febrero,2014-02-07,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000088,account.move,Comp-19000000088,Asientos Transacciones Febrero,2014-02-07,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000089,account.move,Comp-19000000089,Asientos Transacciones Febrero,2014-02-10,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000090,account.move,Comp-19000000090,Asientos Transacciones Febrero,2014-02-10,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
am_cicsa_19000000091,account.move,Comp-19000000091,Asientos Transacciones Febrero,2014-02-10,cicsa_data.ap_cicsa_02,cicsa_data.aj_cicsa_general
