id,model,journal_id:id,period_id:id,date,ref,name
str,str,ref,ref,str,str,str
am_cicsa_19000000000,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_00,2014-01-09,Asientos Transacciones Enero,Comp-19000000000
am_cicsa_19000000001,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-09,Asientos Transacciones Enero,Comp-19000000001
am_cicsa_19000000002,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-13,Asientos Transacciones Enero,Comp-19000000002
am_cicsa_19000000003,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-13,Asientos Transacciones Enero,Comp-19000000003
am_cicsa_19000000004,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-16,Asientos Transacciones Enero,Comp-19000000004
am_cicsa_19000000005,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-16,Asientos Transacciones Enero,Comp-19000000005
am_cicsa_19000000006,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-16,Asientos Transacciones Enero,Comp-19000000006
am_cicsa_19000000007,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-16,Asientos Transacciones Enero,Comp-19000000007
am_cicsa_19000000008,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-16,Asientos Transacciones Enero,Comp-19000000008
am_cicsa_19000000009,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-16,Asientos Transacciones Enero,Comp-19000000009
am_cicsa_19000000010,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-16,Asientos Transacciones Enero,Comp-19000000010
am_cicsa_19000000011,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-16,Asientos Transacciones Enero,Comp-19000000011
am_cicsa_19000000012,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-16,Asientos Transacciones Enero,Comp-19000000012
am_cicsa_19000000013,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-16,Asientos Transacciones Enero,Comp-19000000013
am_cicsa_19000000014,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-16,Asientos Transacciones Enero,Comp-19000000014
am_cicsa_19000000015,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-16,Asientos Transacciones Enero,Comp-19000000015
am_cicsa_19000000016,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-16,Asientos Transacciones Enero,Comp-19000000016
am_cicsa_19000000017,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-16,Asientos Transacciones Enero,Comp-19000000017
am_cicsa_19000000018,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-22,Asientos Transacciones Enero,Comp-19000000018
am_cicsa_19000000019,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-23,Asientos Transacciones Enero,Comp-19000000019
am_cicsa_19000000020,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-23,Asientos Transacciones Enero,Comp-19000000020
am_cicsa_19000000021,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-23,Asientos Transacciones Enero,Comp-19000000021
am_cicsa_19000000022,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-23,Asientos Transacciones Enero,Comp-19000000022
am_cicsa_19000000023,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-23,Asientos Transacciones Enero,Comp-19000000023
am_cicsa_19000000024,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-23,Asientos Transacciones Enero,Comp-19000000024
am_cicsa_19000000025,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-23,Asientos Transacciones Enero,Comp-19000000025
am_cicsa_19000000026,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-23,Asientos Transacciones Enero,Comp-19000000026
am_cicsa_19000000027,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-23,Asientos Transacciones Enero,Comp-19000000027
am_cicsa_19000000028,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-23,Asientos Transacciones Enero,Comp-19000000028
am_cicsa_19000000029,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-23,Asientos Transacciones Enero,Comp-19000000029
am_cicsa_19000000030,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-24,Asientos Transacciones Enero,Comp-19000000030
am_cicsa_19000000031,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-24,Asientos Transacciones Enero,Comp-19000000031
am_cicsa_19000000032,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-24,Asientos Transacciones Enero,Comp-19000000032
am_cicsa_19000000033,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-24,Asientos Transacciones Enero,Comp-19000000033
am_cicsa_19000000034,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-24,Asientos Transacciones Enero,Comp-19000000034
am_cicsa_19000000035,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-24,Asientos Transacciones Enero,Comp-19000000035
am_cicsa_19000000036,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-24,Asientos Transacciones Enero,Comp-19000000036
am_cicsa_19000000037,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-24,Asientos Transacciones Enero,Comp-19000000037
am_cicsa_19000000038,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-27,Asientos Transacciones Enero,Comp-19000000038
am_cicsa_19000000039,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-27,Asientos Transacciones Enero,Comp-19000000039
am_cicsa_19000000040,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-27,Asientos Transacciones Enero,Comp-19000000040
am_cicsa_19000000041,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-27,Asientos Transacciones Enero,Comp-19000000041
am_cicsa_19000000042,account.move,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,2014-01-27,Asientos Transacciones Enero,Comp-19000000042
