id,model,name,ref,date,period_id:id,journal_id:id
str,str,str,str,str,ref,ref
am_cicsa_19000000544,account.move,Comp-19000000544,Asientos Transacciones Julio,2014-07-01,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000143,account.move,Comp-20000000143,Asientos Transacciones Julio,2014-07-01,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000545,account.move,Comp-19000000545,Asientos Transacciones Julio,2014-07-01,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000546,account.move,Comp-19000000546,Asientos Transacciones Julio,2014-07-01,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000547,account.move,Comp-19000000547,Asientos Transacciones Julio,2014-07-01,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000144,account.move,Comp-20000000144,Asientos Transacciones Julio,2014-07-02,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000145,account.move,Comp-20000000145,Asientos Transacciones Julio,2014-07-02,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000146,account.move,Comp-20000000146,Asientos Transacciones Julio,2014-07-02,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000147,account.move,Comp-20000000147,Asientos Transacciones Julio,2014-07-02,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000548,account.move,Comp-19000000548,Asientos Transacciones Julio,2014-07-02,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000148,account.move,Comp-20000000148,Asientos Transacciones Julio,2014-07-02,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000549,account.move,Comp-19000000549,Asientos Transacciones Julio,2014-07-02,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000149,account.move,Comp-20000000149,Asientos Transacciones Julio,2014-07-02,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000150,account.move,Comp-20000000150,Asientos Transacciones Julio,2014-07-02,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000151,account.move,Comp-20000000151,Asientos Transacciones Julio,2014-07-02,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000152,account.move,Comp-20000000152,Asientos Transacciones Julio,2014-07-02,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000153,account.move,Comp-20000000153,Asientos Transacciones Julio,2014-07-02,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000154,account.move,Comp-20000000154,Asientos Transacciones Julio,2014-07-02,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000155,account.move,Comp-20000000155,Asientos Transacciones Julio,2014-07-02,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000156,account.move,Comp-20000000156,Asientos Transacciones Julio,2014-07-02,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000157,account.move,Comp-20000000157,Asientos Transacciones Julio,2014-07-02,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000158,account.move,Comp-20000000158,Asientos Transacciones Julio,2014-07-02,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000550,account.move,Comp-19000000550,Asientos Transacciones Julio,2014-07-03,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000159,account.move,Comp-20000000159,Asientos Transacciones Julio,2014-07-03,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000551,account.move,Comp-19000000551,Asientos Transacciones Julio,2014-07-03,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000160,account.move,Comp-20000000160,Asientos Transacciones Julio,2014-07-03,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000552,account.move,Comp-19000000552,Asientos Transacciones Julio,2014-07-03,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000161,account.move,Comp-20000000161,Asientos Transacciones Julio,2014-07-03,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000553,account.move,Comp-19000000553,Asientos Transacciones Julio,2014-07-04,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000162,account.move,Comp-20000000162,Asientos Transacciones Julio,2014-07-04,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000554,account.move,Comp-19000000554,Asientos Transacciones Julio,2014-07-04,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000163,account.move,Comp-20000000163,Asientos Transacciones Julio,2014-07-04,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000555,account.move,Comp-19000000555,Asientos Transacciones Julio,2014-07-07,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000556,account.move,Comp-19000000556,Asientos Transacciones Julio,2014-07-07,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000164,account.move,Comp-20000000164,Asientos Transacciones Julio,2014-07-07,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000557,account.move,Comp-19000000557,Asientos Transacciones Julio,2014-07-07,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000558,account.move,Comp-19000000558,Asientos Transacciones Julio,2014-07-07,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000559,account.move,Comp-19000000559,Asientos Transacciones Julio,2014-07-07,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000560,account.move,Comp-19000000560,Asientos Transacciones Julio,2014-07-07,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000561,account.move,Comp-19000000561,Asientos Transacciones Julio,2014-07-07,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000562,account.move,Comp-19000000562,Asientos Transacciones Julio,2014-07-07,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000563,account.move,Comp-19000000563,Asientos Transacciones Julio,2014-07-07,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000165,account.move,Comp-20000000165,Asientos Transacciones Julio,2014-07-08,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000564,account.move,Comp-19000000564,Asientos Transacciones Julio,2014-07-09,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000565,account.move,Comp-19000000565,Asientos Transacciones Julio,2014-07-10,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000566,account.move,Comp-19000000566,Asientos Transacciones Julio,2014-07-10,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000567,account.move,Comp-19000000567,Asientos Transacciones Julio,2014-07-11,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000568,account.move,Comp-19000000568,Asientos Transacciones Julio,2014-07-11,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000569,account.move,Comp-19000000569,Asientos Transacciones Julio,2014-07-11,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000570,account.move,Comp-19000000570,Asientos Transacciones Julio,2014-07-11,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000571,account.move,Comp-19000000571,Asientos Transacciones Julio,2014-07-11,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000572,account.move,Comp-19000000572,Asientos Transacciones Julio,2014-07-11,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000573,account.move,Comp-19000000573,Asientos Transacciones Julio,2014-07-11,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000574,account.move,Comp-19000000574,Asientos Transacciones Julio,2014-07-11,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000575,account.move,Comp-19000000575,Asientos Transacciones Julio,2014-07-11,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000576,account.move,Comp-19000000576,Asientos Transacciones Julio,2014-07-11,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000577,account.move,Comp-19000000577,Asientos Transacciones Julio,2014-07-11,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000578,account.move,Comp-19000000578,Asientos Transacciones Julio,2014-07-11,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000579,account.move,Comp-19000000579,Asientos Transacciones Julio,2014-07-11,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000580,account.move,Comp-19000000580,Asientos Transacciones Julio,2014-07-11,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000581,account.move,Comp-19000000581,Asientos Transacciones Julio,2014-07-14,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000582,account.move,Comp-19000000582,Asientos Transacciones Julio,2014-07-15,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000167,account.move,Comp-20000000167,Asientos Transacciones Julio,2014-07-15,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000583,account.move,Comp-19000000583,Asientos Transacciones Julio,2014-07-15,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000584,account.move,Comp-19000000584,Asientos Transacciones Julio,2014-07-16,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000585,account.move,Comp-19000000585,Asientos Transacciones Julio,2014-07-16,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000586,account.move,Comp-19000000586,Asientos Transacciones Julio,2014-07-18,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000587,account.move,Comp-19000000587,Asientos Transacciones Julio,2014-07-18,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000588,account.move,Comp-19000000588,Asientos Transacciones Julio,2014-07-18,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000589,account.move,Comp-19000000589,Asientos Transacciones Julio,2014-07-18,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000590,account.move,Comp-19000000590,Asientos Transacciones Julio,2014-07-18,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000168,account.move,Comp-20000000168,Asientos Transacciones Julio,2014-07-18,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000169,account.move,Comp-20000000169,Asientos Transacciones Julio,2014-07-18,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000591,account.move,Comp-19000000591,Asientos Transacciones Julio,2014-07-21,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000592,account.move,Comp-19000000592,Asientos Transacciones Julio,2014-07-21,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000593,account.move,Comp-19000000593,Asientos Transacciones Julio,2014-07-21,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000594,account.move,Comp-19000000594,Asientos Transacciones Julio,2014-07-21,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000595,account.move,Comp-19000000595,Asientos Transacciones Julio,2014-07-21,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000596,account.move,Comp-19000000596,Asientos Transacciones Julio,2014-07-21,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000597,account.move,Comp-19000000597,Asientos Transacciones Julio,2014-07-21,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000598,account.move,Comp-19000000598,Asientos Transacciones Julio,2014-07-21,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_21000000016,account.move,Comp-21000000016,Asientos Transacciones Julio,2014-07-21,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_21000000017,account.move,Comp-21000000017,Asientos Transacciones Julio,2014-07-21,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000599,account.move,Comp-19000000599,Asientos Transacciones Julio,2014-07-21,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_20000000170,account.move,Comp-20000000170,Asientos Transacciones Julio,2014-07-21,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000600,account.move,Comp-19000000600,Asientos Transacciones Julio,2014-07-21,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
am_cicsa_19000000601,account.move,Comp-19000000601,Asientos Transacciones Julio,2014-07-21,cicsa_data.ap_cicsa_07,cicsa_data.aj_cicsa_general
