id,model,name,ref,date,period_id:id,journal_id:id
str,str,str,str,str,ref,ref
am_cicsa_20000000127,account.move,Comp-20000000127,Asientos Transacciones Junio,2014-06-02,cicsa_data.ap_cicsa_06,cicsa_data.aj_cicsa_general
am_cicsa_20000000128,account.move,Comp-20000000128,Asientos Transacciones Junio,2014-06-02,cicsa_data.ap_cicsa_06,cicsa_data.aj_cicsa_general
am_cicsa_20000000129,account.move,Comp-20000000129,Asientos Transacciones Junio,2014-06-02,cicsa_data.ap_cicsa_06,cicsa_data.aj_cicsa_general
am_cicsa_20000000130,account.move,Comp-20000000130,Asientos Transacciones Junio,2014-06-02,cicsa_data.ap_cicsa_06,cicsa_data.aj_cicsa_general
am_cicsa_20000000131,account.move,Comp-20000000131,Asientos Transacciones Junio,2014-06-02,cicsa_data.ap_cicsa_06,cicsa_data.aj_cicsa_general
am_cicsa_19000000466,account.move,Comp-19000000466,Asientos Transacciones Junio,2014-06-02,cicsa_data.ap_cicsa_06,cicsa_data.aj_cicsa_general
am_cicsa_19000000467,account.move,Comp-19000000467,Asientos Transacciones Junio,2014-06-02,cicsa_data.ap_cicsa_06,cicsa_data.aj_cicsa_general
am_cicsa_20000000132,account.move,Comp-20000000132,Asientos Transacciones Junio,2014-06-03,cicsa_data.ap_cicsa_06,cicsa_data.aj_cicsa_general
am_cicsa_20000000133,account.move,Comp-20000000133,Asientos Transacciones Junio,2014-06-03,cicsa_data.ap_cicsa_06,cicsa_data.aj_cicsa_general
am_cicsa_20000000134,account.move,Comp-20000000134,Asientos Transacciones Junio,2014-06-03,cicsa_data.ap_cicsa_06,cicsa_data.aj_cicsa_general
am_cicsa_20000000135,account.move,Comp-20000000135,Asientos Transacciones Junio,2014-06-03,cicsa_data.ap_cicsa_06,cicsa_data.aj_cicsa_general
am_cicsa_19000000468,account.move,Comp-19000000468,Asientos Transacciones Junio,2014-06-03,cicsa_data.ap_cicsa_06,cicsa_data.aj_cicsa_general
am_cicsa_20000000136,account.move,Comp-20000000136,Asientos Transacciones Junio,2014-06-03,cicsa_data.ap_cicsa_06,cicsa_data.aj_cicsa_general
am_cicsa_19000000469,account.move,Comp-19000000469,Asientos Transacciones Junio,2014-06-03,cicsa_data.ap_cicsa_06,cicsa_data.aj_cicsa_general
am_cicsa_20000000137,account.move,Comp-20000000137,Asientos Transacciones Junio,2014-06-03,cicsa_data.ap_cicsa_06,cicsa_data.aj_cicsa_general
am_cicsa_20000000138,account.move,Comp-20000000138,Asientos Transacciones Junio,2014-06-03,cicsa_data.ap_cicsa_06,cicsa_data.aj_cicsa_general
