id,model,move_id:id,name,account_id:id,debit,credit,analytics_id:id,period_id:id,journal_id:id
str,str,ref,str,search;code,str,str,ref,ref,ref
aml_cicsa_2260,account.move.line,am_cicsa_19000000248,Gastos de envio por correo 19-02-13/ Dianela Garcia,73121004,122.8,,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2261,account.move.line,am_cicsa_19000000248,Adelanto otorgado a Dianela Garcia,11310006,,140.2,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2262,account.move.line,am_cicsa_19000000248,Recibo Nro Entrada/ Dianela Garcia,10111005,17.4,,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2263,account.move.line,am_cicsa_19000000249,Honorarios Profesionales (Renovacion de Licencia 2014 y Permisos 2014)/ David Salaverria,73149002,10742,,cicsa_data.aapi_017,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2264,account.move.line,am_cicsa_19000000249,IVA Factura Nro 003833/ David Salaverria,11203114,1289.04,,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2265,account.move.line,am_cicsa_19000000249,75% VTA Factura 003833/ David Salaverria,20140109,,966.78,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2266,account.move.line,am_cicsa_19000000249,3% 003833/ David Salaverria,20140101,,4.76,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2267,account.move.line,am_cicsa_19000000249,Factura 3833/ David Salaverria,20101002,,11059.5,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2268,account.move.line,am_cicsa_19000000250,Refigerio para Una reunion de los socios previa a la Junta Directiva de Enero 2014/ Edgara Karina Gomez,11203105,7336,,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2269,account.move.line,am_cicsa_19000000250,Refigerio para Una reunion de los socios previa a la Junta Directiva de Enero 2014/ Edgara Karina Gomez,11203105,880.32,,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2270,account.move.line,am_cicsa_19000000250,factura 153/ Edgara Karina Gomez,20101002,,8216.32,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2271,account.move.line,am_cicsa_19000000251,"Separadores Modelo Lazzio Gris y Fliper Aereo de 0.90/ Don Star Decoracion ,C.A",74110102,27660,,cicsa_data.aapi_021,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2272,account.move.line,am_cicsa_19000000251,"IVA 12% Factura Nro 002448  Don Star Decorations/ Don Star Decoracion ,C.A",11203114,3319.2,,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2273,account.move.line,am_cicsa_19000000251,"Tax 2%Fact. nro 002448/ Don Star Decoracion ,C.A",20140101,,553.2,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2274,account.move.line,am_cicsa_19000000251,"IVA 75%  Factura 0024480/ Don Star Decoracion ,C.A",20140109,,2489.4,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2275,account.move.line,am_cicsa_19000000251,"Factura 002448 Don Star Decoration C,A",20101002,,27936.6,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2276,account.move.line,am_cicsa_19000000252,"Estacionamiento Torre BVC  CICSA  Abril -2014/ Garaje Torre BVC, C.A",73149002,17410.71,,cicsa_data.aapi_021,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2277,account.move.line,am_cicsa_19000000252,"Factura Nro 00022711/ Garaje Torre BVC, C.A",11203114,2089.29,,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2278,account.move.line,am_cicsa_19000000252,"Factura Nro 00022711/ Garaje Torre BVC, C.A",20140109,,1566.97,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2279,account.move.line,am_cicsa_19000000252,"Factura Nro 00022711/ Garaje Torre BVC, C.A",20140101,,348.21,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2280,account.move.line,am_cicsa_19000000252,"Estacionamiento Torre BVC  CICSA  Abril -2014 Factura Nro 00022711/ Garaje Torre BVC, C.A",20101002,,17584.82,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2281,account.move.line,am_cicsa_19000000252,"Estacionamiento Torre BVC  PCB  Abril  -2014/ Garaje Torre BVC, C.A",11203103,14062.5,,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2282,account.move.line,am_cicsa_19000000252,"Factura Nro 00022710/ Garaje Torre BVC, C.A",11203113,1687.5,,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2283,account.move.line,am_cicsa_19000000252,"Factura Nro 00022710/ Garaje Torre BVC, C.A",20140109,,1265.63,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2284,account.move.line,am_cicsa_19000000252,"Factura Nro 00022710/ Garaje Torre BVC, C.A",20140101,,281.25,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2285,account.move.line,am_cicsa_19000000252,"Estacionamiento Torre BVC  PCB  Abril  -2014 Factura Nro 00022710/ Garaje Torre BVC, C.A",20101002,,14203.12,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2286,account.move.line,am_cicsa_19000000253,"Alquiler de oficinas Marzo  2014 Oficina 6Q/ Inversiones 225,CA",11203103,10454.74,,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2287,account.move.line,am_cicsa_19000000253,"IvaFact. Nro 00395/ Inversiones 225,CA",11203113,1254.57,,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2288,account.move.line,am_cicsa_19000000253,"75 % IvaFact. Nro 00395/ Inversiones 225,CA",20140109,,940.93,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2289,account.move.line,am_cicsa_19000000253,"Tax Fact. Nro 00395/ Inversiones 225,CA",20140101,,522.74,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2290,account.move.line,am_cicsa_19000000253,"Fact. Nro 00395/ Inversiones 225,CA",20101002,,10245.64,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2291,account.move.line,am_cicsa_19000000253,"Alquiler de oficinas Abril  2014 Oficina 6P/ Inversiones 225,CA",11203103,11205.67,,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2292,account.move.line,am_cicsa_19000000253,"IvaFact. Nro 00394/ Inversiones 225,CA",11203113,1344.68,,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2293,account.move.line,am_cicsa_19000000253,"75 % IvaFact. Nro 00394/ Inversiones 225,CA",20140109,,1008.51,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2294,account.move.line,am_cicsa_19000000253,"Tax Fact. Nro 00394/ Inversiones 225,CA",20140101,,560.28,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2295,account.move.line,am_cicsa_19000000253,"Fact. Nro 00394/ Inversiones 225,CA",20101002,,10981.56,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2296,account.move.line,am_cicsa_19000000253,"Alquiler de oficinas Abril  2014 /Oficina 6O/ Inversiones 225,CA",11203103,14201.04,,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2297,account.move.line,am_cicsa_19000000253,"IvaFact. Nro 00393/ Inversiones 225,CA",11203113,1704.12,,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2298,account.move.line,am_cicsa_19000000253,"75 % IvaFact. Nro 00393/ Inversiones 225,CA",20140109,,1278.09,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2299,account.move.line,am_cicsa_19000000253,"Tax Fact. Nro 00393/ Inversiones 225,CA",20140101,,710.05,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2300,account.move.line,am_cicsa_19000000253,"Fact. Nro 00393/ Inversiones 225,CA",20101002,,13917.02,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2301,account.move.line,am_cicsa_19000000253,"Alquiler de oficinas Abril 2014 /Oficina 5L/ Inversiones 225,CA",73301001,18068.3,,cicsa_data.aapi_021,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2302,account.move.line,am_cicsa_19000000253,"Iva Fact. Nro 00392/ Inversiones 225,CA",11203114,2168.2,,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2303,account.move.line,am_cicsa_19000000253,"75 % IvaFact. Nro 00392/ Inversiones 225,CA",20140109,,1626.15,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2304,account.move.line,am_cicsa_19000000253,"Tax Fact. Nro 00392/ Inversiones 225,CA",20140101,,903.42,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2305,account.move.line,am_cicsa_19000000253,"Fact. Nro 00392/ Inversiones 225,CA",20101002,,17706.93,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2306,account.move.line,am_cicsa_19000000253,"Alquiler de oficinas Abril  2014 /Oficina 5J/ Inversiones 225,CA",73301001,20428.8,,cicsa_data.aapi_021,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2307,account.move.line,am_cicsa_19000000253,"IvaFact. Nro 00391/ Inversiones 225,CA",11203114,2451.46,,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2308,account.move.line,am_cicsa_19000000253,"75 % IvaFact. Nro 00391/ Inversiones 225,CA",20140109,,1838.6,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2309,account.move.line,am_cicsa_19000000253,"Tax Fact. Nro 00391/ Inversiones 225,CA",20140101,,1021.44,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2310,account.move.line,am_cicsa_19000000253,"Fact. Nro 00391/ Inversiones 225,CA",20101002,,20020.22,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2311,account.move.line,am_cicsa_19000000253,"Alquiler de oficinas Marzo  2014 /Oficina 5C/ Inversiones 225,CA",73301001,17152.96,,cicsa_data.aapi_021,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
aml_cicsa_2312,account.move.line,am_cicsa_19000000253,"IvaFact. Nro 00390/ Inversiones 225,CA",11203114,2058.36,,,cicsa_data.ap_cicsa_04,cicsa_data.aj_cicsa_general
