id,model,move_id:id,name,account_id:id,debit,credit,analytics_id:id,journal_id:id,period_id:id
str,str,ref,str,search;code,str,str,ref,ref,ref
aml_cicsa_5288,account.move.line,am_cicsa_19000000675,Gastos de electricidad Marzo 2014/ Fernando de la Rosa,10111005,1514.83,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_08
aml_cicsa_5289,account.move.line,am_cicsa_19000000675,Gastos de electricidad Marzo 2014/ Fernando de la Rosa,11310006,,1514.83,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_08
aml_cicsa_5290,account.move.line,am_cicsa_19000000675,Gastos de electricidad Marzo 2014/ Fernando de la Rosa,73121005,1514.83,,cicsa_data.aapi_007,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_08
aml_cicsa_5291,account.move.line,am_cicsa_19000000675,Gastos de electricidad Marzo 2014/ Fernando de la Rosa,10111005,,1514.83,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_08
aml_cicsa_5292,account.move.line,am_cicsa_19000000676,Gastos de electricidad Abril y Mayo 2014/ Fernando de la Rosa,20101202,2795.32,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_08
aml_cicsa_5293,account.move.line,am_cicsa_19000000676,Gastos de electricidad Abril y Mayo 2014/ Fernando de la Rosa,11310006,,2795.32,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_08
aml_cicsa_5294,account.move.line,am_cicsa_19000000676,Gastos electricidad Abril 2014/ Fernando de la Rosa,73121005,1490.00,,cicsa_data.aapi_007,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_08
aml_cicsa_5295,account.move.line,am_cicsa_19000000676,Gastos electricidad May 2014/ Fernando de la Rosa,73121005,1556.00,,cicsa_data.aapi_007,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_08
aml_cicsa_5296,account.move.line,am_cicsa_19000000676,Gastos electricidad Abril 2014/ Fernando de la Rosa,10111005,,1490.00,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_08
aml_cicsa_5297,account.move.line,am_cicsa_19000000676,Gastos electricidad May 2014/ Fernando de la Rosa,10111005,,1556.00,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_08
aml_cicsa_5298,account.move.line,am_cicsa_19000000677,Gastos de envíos 01-04-14/ Dianela Garcia,10111005,300.00,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_08
aml_cicsa_5299,account.move.line,am_cicsa_19000000677,Gastos de envíos 01-04-14/ Dianela Garcia,11310006,,300.00,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_08
aml_cicsa_5300,account.move.line,am_cicsa_19000000677,Gastos de envíos 01-04-14/ Dianela Garcia,73121004,300.00,,cicsa_data.aapi_011,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_08
aml_cicsa_5301,account.move.line,am_cicsa_19000000677,Gastos de envíos 01-04-14/ Dianela Garcia,10111005,,300.00,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_08
aml_cicsa_5302,account.move.line,am_cicsa_19000000678,Recibo nro 0077 Dianela García,10111005,750.00,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_08
aml_cicsa_5303,account.move.line,am_cicsa_19000000678,Recibo nro 0077 Dianela García,10111005,,750.00,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_08
aml_cicsa_5304,account.move.line,am_cicsa_19000000679,Recibo nro 0078 Dianela García,10111005,134.00,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_08
aml_cicsa_5305,account.move.line,am_cicsa_19000000679,Recibo nro 0078 Dianela García,10111005,,134.00,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_08
aml_cicsa_5306,account.move.line,am_cicsa_19000000680,"128,59 Horas. Desarrollo e implementacion de funcionalidades sobre OpenERP. Factura 490",73113002,81011.70,,cicsa_data.aapi_002,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_08
aml_cicsa_5307,account.move.line,am_cicsa_19000000680,Factura 490. Vauxoo,20101102,,81011.70,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_08
aml_cicsa_5308,account.move.line,am_cicsa_19000000681,Factura 490. Vauxoo,20101002,23068.28,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_08
