id,model,move_id:id,name,account_id:id,debit,credit,analytics_id:id,period_id:id,journal_id:id
str,str,ref,str,search;code,str,str,ref,ref,ref
aml_cicsa_X01,account.move.line,am_cicsa_19000000000,Saldo inicial 2014/Caja Chica VEB,10111005,15223.88,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X02,account.move.line,am_cicsa_19000000000,Saldo inicial 2014/Citibank VEB,10226013,3994778.87,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X03,account.move.line,am_cicsa_19000000000,Saldo inicial 2014/Banesco VEB,10226014,847.99,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X04,account.move.line,am_cicsa_19000000000,Saldo inicial 2014/Citibank USD,10439033,1884041523,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X05,account.move.line,am_cicsa_19000000000,Saldo inicial 2014/Cuentas por cobrar costos directos PCB,11203103,38899821.68,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X06,account.move.line,am_cicsa_19000000000,Saldo inicial 2014/Cuentas por cobrar costos directos PCB USD,11213103,80232872895,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X07,account.move.line,am_cicsa_19000000000,Saldo inicial 2014/Cuentas por cobrar costos CICSA,11203104,50263253.44,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X08,account.move.line,am_cicsa_19000000000,Saldo inicial 2014/Cuentas por cobrar costos CICSA USD,11213104,150834540717,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X09,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Gastos de viaje reunión Delhi, India. Alberto del Corral/Repsol YPF Venezuela, S.A",11213105,3330.298125,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X10,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Gastos de viaje reunión Delhi, India. Alberto del Corral/Repsol YPF Venezuela, S.A",11213105,3330.298125,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X11,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Gastos de viaje reunión Delhi, India. Alberto del Corral/Repsol YPF Venezuela, S.A",11213105,3330.298125,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X12,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Gastos de viaje reunión Delhi, India. Alberto del Corral/Repsol YPF Venezuela, S.A",11213105,2119.280625,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X13,account.move.line,am_cicsa_19000000000,Saldo inicial 2014/Revisión de Acuerdos PCB (SO Nro 00085) Honorarios profesionales/Norton Rose Fulbrith LLP,11213105,50017275,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X14,account.move.line,am_cicsa_19000000000,Saldo inicial 2014/Revisión de Acuerdos PCB (SO Nro 00085) Honorarios profesionales/Norton Rose Fulbrith LLP,11213105,50017275,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X15,account.move.line,am_cicsa_19000000000,Saldo inicial 2014/Revisión de Acuerdos PCB (SO Nro 00085) Honorarios profesionales/Norton Rose Fulbrith LLP,11213105,50017275,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X16,account.move.line,am_cicsa_19000000000,Saldo inicial 2014/Revisión de Acuerdos PCB (SO Nro 00085) Honorarios profesionales/Norton Rose Fulbrith LLP,11213105,31829175,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X17,account.move.line,am_cicsa_19000000000,Saldo inicial 2014/Revisión de Acuerdos PCB. Honorarios profesionales desde 12-08 al 19-08-13/Norton Rose Fulbrith LLP,11213105,245257.23915,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X18,account.move.line,am_cicsa_19000000000,Saldo inicial 2014/Revisión de Acuerdos PCB. Honorarios profesionales desde 12-08 al 19-08-13/Norton Rose Fulbrith LLP,11213105,245257.23915,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X19,account.move.line,am_cicsa_19000000000,Saldo inicial 2014/Revisión de Acuerdos PCB. Honorarios profesionales desde 12-08 al 19-08-13/Norton Rose Fulbrith LLP,11213105,245257.23915,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X20,account.move.line,am_cicsa_19000000000,Saldo inicial 2014/Revisión de Acuerdos PCB. Honorarios profesionales desde 12-08 al 19-08-13/Norton Rose Fulbrith LLP,11213105,156072.78855,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X21,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Bebidas para recepción y entretenimiento de 70 personas. Fact. 4177/Operadora Lechería 2011, C.A.",11203105,1272.85675,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X22,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Bebidas para recepción y entretenimiento de 70 personas. Fact. 4177/Operadora Lechería 2011, C.A.",11203105,1272.85675,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X23,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Bebidas para recepción y entretenimiento de 70 personas. Fact. 4177/Operadora Lechería 2011, C.A.",11203105,1272.85675,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X24,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Bebidas para recepción y entretenimiento de 70 personas. Fact. 4177/Operadora Lechería 2011, C.A.",11203105,809.99975,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X25,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Reclasificación JE 19/890 para CxC Socios minoritarios/Tasca Restaurant El Moroco, C.A.",11203105,9116745,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X26,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Reclasificación JE 19/890 para CxC Socios minoritarios/Tasca Restaurant El Moroco, C.A.",11203105,9116745,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X27,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Reclasificación JE 19/890 para CxC Socios minoritarios/Tasca Restaurant El Moroco, C.A.",11203105,9116745,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X28,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Reclasificación JE 19/890 para CxC Socios minoritarios/Tasca Restaurant El Moroco, C.A.",11203105,5801565,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X29,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Reclasificación JE 19/890 para CxC Socios minoritarios/Licomarket Punto Amarillo, C.A.",11203105,10999989,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X30,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Reclasificación JE 19/890 para CxC Socios minoritarios/Licomarket Punto Amarillo, C.A.",11203105,10999989,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X31,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Reclasificación JE 19/890 para CxC Socios minoritarios/Licomarket Punto Amarillo, C.A.",11203105,10999989,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X32,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Reclasificación JE 19/890 para CxC Socios minoritarios/Licomarket Punto Amarillo, C.A.",11203105,6999993,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X33,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Comité RRHH & SC Carabobo/Repsol YPF Venezuela, S.A",11203105,23700435,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X34,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Comité RRHH & SC Carabobo/Repsol YPF Venezuela, S.A",11203105,23700435,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X35,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Comité RRHH & SC Carabobo/Repsol YPF Venezuela, S.A",11203105,23700435,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X36,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Comité RRHH & SC Carabobo/Repsol YPF Venezuela, S.A",11203105,15082095,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X37,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Comité RRHH & SC Carabobo. Iva Factura Nro 0000752/Repsol YPF Venezuela, S.A",11203105,2429658,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X38,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Comité RRHH & SC Carabobo. Iva Factura Nro 0000752/Repsol YPF Venezuela, S.A",11203105,2429658,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X39,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Comité RRHH & SC Carabobo. Iva Factura Nro 0000752/Repsol YPF Venezuela, S.A",11203105,2429658,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X40,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Comité RRHH & SC Carabobo. Iva Factura Nro 0000752/Repsol YPF Venezuela, S.A",11203105,1546146,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X41,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Comité RRHH & SC Carabobo. Iva Factura Nro 0000752/Repsol YPF Venezuela, S.A",11203105,281842,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X42,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Comité RRHH & SC Carabobo. Iva Factura Nro 0000752/Repsol YPF Venezuela, S.A",11203105,281842,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X43,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Comité RRHH & SC Carabobo. Iva Factura Nro 0000752/Repsol YPF Venezuela, S.A",11203105,281842,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X44,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Comité RRHH & SC Carabobo. Iva Factura Nro 0000752/Repsol YPF Venezuela, S.A",11203105,179354,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X45,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Reclasif. 19/535 Gastos de viaje reunión Delhi, India. Alberto del Corral. Fact. Nro 0000814/Repsol YPF Venezuela, S.A",11203105,590667,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X46,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Reclasif. 19/535 Gastos de viaje reunión Delhi, India. Alberto del Corral. Fact. Nro 0000814/Repsol YPF Venezuela, S.A",11203105,590667,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X47,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Reclasif. 19/535 Gastos de viaje reunión Delhi, India. Alberto del Corral. Fact. Nro 0000814/Repsol YPF Venezuela, S.A",11203105,590667,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X48,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Reclasif. 19/535 Gastos de viaje reunión Delhi, India. Alberto del Corral. Fact. Nro 0000814/Repsol YPF Venezuela, S.A",11203105,375879,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
aml_cicsa_X49,account.move.line,am_cicsa_19000000000,"Saldo inicial 2014/Reclasif. 19/535 Gastos de viaje reunión Delhi, India. Alberto del Corral. IVA Fact. Nro 0000814/Repsol YPF Venezuela, S.A",11203105,343.64825,,,cicsa_data.ap_cicsa_00,cicsa_data.aj_cicsa_general
