id,model,move_id:id,name,account_id:id,debit,credit,analytics_id:id,journal_id:id,period_id:id
str,str,ref,str,search;code,str,str,ref,ref,ref
aml_cicsa_4412,account.move.line,am_cicsa_19000000544,"Conector RJ-45 CAT5E VCOM y Bota Howell P/RJ45 gris. (AA Latinoamericana PLC, C.A)/ Jose Mantellini ",77101004,1784.16,,cicsa_data.aapi_002,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_07
aml_cicsa_4413,account.move.line,am_cicsa_19000000544,"Conector RJ-45 CAT5E VCOM y Bota Howell P/RJ45 gris. (AA Latinoamericana PLC, C.A)/ Jose Mantellini ",20101202,,1784.16,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_07
aml_cicsa_4414,account.move.line,am_cicsa_20000000143,"Conector RJ-45 CAT5E VCOM y Bota Howell P/RJ45 gris. (AA Latinoamericana PLC, C.A)/ Jose Mantellini ",20101202,1784.16,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_07
aml_cicsa_4415,account.move.line,am_cicsa_20000000143,"Conector RJ-45 CAT5E VCOM y Bota Howell P/RJ45 gris. (AA Latinoamericana PLC, C.A)/ Jose Mantellini ",10226013,,1784.16,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_07
aml_cicsa_4416,account.move.line,am_cicsa_19000000545,InternetLan services for  March  2014- CANTV - InvN° FM140000006401 / CANTV,73121003,7503.00,,cicsa_data.aapi_002,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_07
aml_cicsa_4417,account.move.line,am_cicsa_19000000545,IVA Inv Nro FM140000006401   CANTV March 2014 Servicio de InternetLan / CANTV,11203114,900.36,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_07
aml_cicsa_4418,account.move.line,am_cicsa_19000000545,100% IVA   CANTV Fact. FM140000006401 Marzo 2014 InternetLan Services/ CANTV,20140109,,900.36,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_07
aml_cicsa_4419,account.move.line,am_cicsa_19000000545,2% Retencion de ISLR. Fact. Nro FM140000006401 / CANTV,20140101,,150.06,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_07
aml_cicsa_4420,account.move.line,am_cicsa_19000000545,Marzo 2014 - Servicio de InternetLan Inv.N° FM140000006401 / CANTV,20101002,,7352.94,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_07
aml_cicsa_4421,account.move.line,am_cicsa_19000000546,Abril  - Servicio Telefonico / CANTV,73121003,8804.85,,cicsa_data.aapi_002,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_07
aml_cicsa_4422,account.move.line,am_cicsa_19000000546,12% Iva  Nro F000253378586 Serie A/ CANTV,11203114,1056.58,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_07
aml_cicsa_4423,account.move.line,am_cicsa_19000000546,100% Iva  Nro F000253378586 Serie A/ CANTV,20140109,,1056.58,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_07
aml_cicsa_4424,account.move.line,am_cicsa_19000000546,Cantv  Nro  F000253378586 Serie A/ CANTV,20101002,,8804.85,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_07
aml_cicsa_4425,account.move.line,am_cicsa_19000000547,Celulares Abril  2014  Movilnet  Nro 50293486/Telecomunicaciones Movilnet C.A,73121003,39510.50,,cicsa_data.aapi_002,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_07
aml_cicsa_4426,account.move.line,am_cicsa_19000000547,Celulares Abril  2014 Fact Nro. 50293486/ Telecomunicaciones Movilnet C.A,11203114,4740.72,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_07
aml_cicsa_4427,account.move.line,am_cicsa_19000000547,Celulares Abril  2014 Fact Nro. 50293486/ Telecomunicaciones Movilnet C.A,20140109,,4740.72,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_07
aml_cicsa_4428,account.move.line,am_cicsa_19000000547,Celulares Abril  2014  Movilnet Inv. 50293486/ Telecomunicaciones Movilnet C.A,20101002,,39510.50,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_07
aml_cicsa_4429,account.move.line,am_cicsa_20000000144,Marzo 2014 InternetLan Services Inv.N° FM140000006401 / CANTV,20101002,7352.94,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_07
aml_cicsa_4430,account.move.line,am_cicsa_20000000144,Cantv  Nro  F000253378586 Serie A/ CANTV,20101002,8804.85,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_07
aml_cicsa_4431,account.move.line,am_cicsa_20000000144,Servicio de Internet LAN Febrero 2014 - CANTV - Inv. Nro FMI140000004344/ CANTV,20101002,7352.94,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_07
aml_cicsa_4432,account.move.line,am_cicsa_20000000144,Servicio Telefonico e Internet LAN Fact. N° FM140000006401 -  F000253378586 Serie A - FMI140000004344/ CANTV,10226013,,23510.73,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_07
aml_cicsa_4433,account.move.line,am_cicsa_20000000145,"Fact. Nro. 27680 - Motor ABB M3GP280SMB6, 440 VAC, 60 Hz 75 HP VSD Driven induction Motor for the ""Twin-Motor"" / Controles Electricos DIASA,S.A",20101002,551904.90,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_07
aml_cicsa_4434,account.move.line,am_cicsa_20000000145,"Fact. Nro. 27680 - Motor ABB M3GP280SMB6, 440 VAC, 60 Hz 75 HP VSD Driven induction Motor for the ""Twin-Motor"" / Controles Electricos DIASA,S.A",10226013,,551904.90,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_07
aml_cicsa_4435,account.move.line,am_cicsa_20000000146,"Alquiler de Vehiculos Mayo 2014 / Cooperativa Montesacro 100, R.L",20101002,473000.00,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_07
aml_cicsa_4436,account.move.line,am_cicsa_20000000146,"Alquiler de Vehiculos Marzo 2014 / Cooperativa Montesacro 100, R.L",20101002,786900.00,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_07
aml_cicsa_4437,account.move.line,am_cicsa_20000000146,"Alquiler de Vehiculos April 2014 /Cooperativa Montesacro 100, R.L",20101002,817000.00,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_07
