id,model,move_id:id,name,account_id:id,debit,credit,analytics_id:id,journal_id:id,period_id:id
str,str,ref,str,search;code,str,str,ref,ref,ref
aml_cicsa_3857,account.move.line,am_cicsa_20000000127,Factura Nro. 00006063 - Soporte de Sistemas febrero  2014/ Informatica Gesfor Venezuela C.A,20101002,139621.69,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3858,account.move.line,am_cicsa_20000000127,Factura Nro. 00006064 - Soporte de Sistemas marzo  2014/ Informatica Gesfor Venezuela C.A,20101002,139621.69,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3859,account.move.line,am_cicsa_20000000127,Honorarios Gesfor Febrero y Marzo/ Informatica Gesfor Venezuela C.A,10226013,,279243.38,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3860,account.move.line,am_cicsa_20000000128,Factura 53067/ Alquiler de Oficina/ Inversiones Cachamayo C.A,20101002,21638.4,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3861,account.move.line,am_cicsa_20000000128,Factura 53067/ Alquiler de Oficina/ Inversiones Cachamayo C.A,10226013,,21638.4,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3862,account.move.line,am_cicsa_20000000129,limpieza y Suministro de material de cafeteria y limpieza Mes de abril 2014 - Factura Nro. 50000965/ Induservi,20101002,96989.44,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3863,account.move.line,am_cicsa_20000000129,limpieza y Suministro de material de cafeteria y limpieza Mes de abril 2014 - Factura Nro. 50000965/ Induservi,10226013,,96989.44,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3864,account.move.line,am_cicsa_20000000130,Factura N°35596005 Telefonica Venezolana,20101002,20146.0236,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3865,account.move.line,am_cicsa_20000000130,Factura N°35596005 Telefonia movil/ Telefonica Venezolana,10226013,,20146.0236,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3866,account.move.line,am_cicsa_20000000131,Factura Nro 32582 - Personal CICSA Semana 19/ Travel services,20101002,46502.57,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3867,account.move.line,am_cicsa_20000000131,Factura Nro 32582 - Personal CICSA Semana 19/ Travel services,10226013,,46502.57,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3868,account.move.line,am_cicsa_19000000466,Estacionamiento Torre BVC CICSA  JUN-2014/ Factura Nro 00022801/ Garaje Torre,73149002,22053.57,,cicsa_data.aapi_007,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3869,account.move.line,am_cicsa_19000000466,Estacionamiento Torre BVC CICSA  JUN-2014/ Factura Nro 00022801/ Garaje Torre,11203114,2646.43,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3870,account.move.line,am_cicsa_19000000466,Estacionamiento Torre BVC CICSA  JUN-2014/ Factura Nro 00022801/ Garaje Torre,20140109,,1984.82,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3871,account.move.line,am_cicsa_19000000466,Estacionamiento Torre BVC CICSA  JUN-2014/ Factura Nro 00022801/ Garaje Torre,20140101,,441.07,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3872,account.move.line,am_cicsa_19000000466,Estacionamiento Torre BVC CICSA  JUN-2014/ Factura Nro 00022801/ Garaje Torre,20101002,,22274.11,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3873,account.move.line,am_cicsa_19000000467,Estacionamiento Torre BVC PCB  JUN  -2014/ Factura Nro 00022802/ Garaje Torre,11203103,16116.07,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3874,account.move.line,am_cicsa_19000000467,Estacionamiento Torre BVC PCB  JUN  -2014/ Factura Nro 00022802/ Garaje Torre,11203113,1933.93,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3875,account.move.line,am_cicsa_19000000467,Estacionamiento Torre BVC PCB  JUN  -2014/ Factura Nro 00022802/ Garaje Torre,20140109,,1450.45,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3876,account.move.line,am_cicsa_19000000467,Estacionamiento Torre BVC PCB  JUN  -2014/ Factura Nro 00022802/ Garaje Torre,20140101,,322.32,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3877,account.move.line,am_cicsa_19000000467,Estacionamiento Torre BVC PCB  JUN  -2014/ Factura Nro 00022802/ Garaje Torre,20101002,,16277.23,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3878,account.move.line,am_cicsa_20000000132,Parking Alquileral Car CICSA  JUN -2014 Factura Nro 00022801/ Garaje Torre,20101002,22274.11,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3879,account.move.line,am_cicsa_20000000132,Parking Alquileral Car PCB  JUN  -2014 Factura Nro 00022802/ Garaje Torre,20101002,16277.23,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3880,account.move.line,am_cicsa_20000000132,Parking Alquileral Car CICSA /PCB JUN -2014 Factura Nro 00022801-22802/ Garaje Torre,10226013,,38551.34,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3881,account.move.line,am_cicsa_20000000133,"Gastos Reembolsables Fianza Segun contrato N° CA-4170015/ Servicios y Mantenimiento de Flota Colina Alta, C.A",20101002,82198.75,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3882,account.move.line,am_cicsa_20000000133,"Factura Nro 000047 - Reparacion de Vehiculo Hilux Negra Placa A72AS4M/ Servicios y Mantenimiento de Flota Colina Alta, C.A",20101002,716960.62,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3883,account.move.line,am_cicsa_20000000133,"Fianza y reparacion de Vehiculo / Servicios y Mantenimiento de Flota Colina Alta, C.A",10226013,,799159.37,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3884,account.move.line,am_cicsa_20000000134,Caribean Port Factura N. 3431,20101002,3341863.09,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3885,account.move.line,am_cicsa_20000000134,Caribean Port Factura N. 3431,10226013,,3341863.09,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3886,account.move.line,am_cicsa_20000000135,3014071 RI/ Evi de Venezuela S.A (Weatherford),20101002,197305.62,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3887,account.move.line,am_cicsa_20000000135,3014072 RI/ Evi de Venezuela S.A (Weatherford),20101002,197305.62,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3888,account.move.line,am_cicsa_20000000135,3014073 RI/ Evi de Venezuela S.A (Weatherford),20101002,118214.95,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3889,account.move.line,am_cicsa_20000000135,3013408 RI/ Evi de Venezuela S.A (Weatherford),20101002,3904341.95,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3890,account.move.line,am_cicsa_20000000135,Evi de Venezuela 3013408-3014073-3014072-3014071/ Evi de Venezuela S.A (Weatherford),10226013,,4417168.14,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3891,account.move.line,am_cicsa_19000000468,Retenciones de ISLR mayo 2014/ Tesoro Nacional,20140101,109895.46,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3892,account.move.line,am_cicsa_19000000468,Retenciones de ISLR mayo 2014/ Tesoro Nacional,20101901,,109895.46,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3893,account.move.line,am_cicsa_20000000136,ISLR mayo 2014/ Tesoro Nacional,20101901,109895.46,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3894,account.move.line,am_cicsa_20000000136,ISLR mayo 2014/ Tesoro Nacional,10226013,,109895.46,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3895,account.move.line,am_cicsa_19000000469,Comida 26/05/2014. Gtos de Viajes al campo/ Jose Angel Perez - La Mansion del Pollo,77101004,309.99,,cicsa_data.aapi_009,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3896,account.move.line,am_cicsa_19000000469,"Comida 27/05/2014. Gtos de Viajes al campo/ Jose Angel Perez-Sub Asociados A&A, C.A.",77101004,216,,cicsa_data.aapi_009,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3897,account.move.line,am_cicsa_19000000469,"Hotel 26/05/2014. Gtos de Viaje al campo/ Jose Angel Perez-Inversiones MCK 3000, C.A.",77101004,2420,,cicsa_data.aapi_009,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3898,account.move.line,am_cicsa_19000000469,Claim Viaje a Campo 26 y 27/05/2014/ Jose Angel Perez,20101202,,2945.99,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3899,account.move.line,am_cicsa_20000000137,Claim Viaje a Campo 26 y 27/05/2014/ Jose Angel Perez,20101202,2945.99,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3900,account.move.line,am_cicsa_20000000137,Claim Viaje a Campo 16 y 17/05/2014/ Jose Angel Perez,20101202,1122.96,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3901,account.move.line,am_cicsa_20000000137,Impresion de Carnets/ Jose Angel Perez,20101202,537.6,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3902,account.move.line,am_cicsa_20000000137,Impresion de Carnets/ Jose Angel Perez,20101202,448,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3903,account.move.line,am_cicsa_20000000137,Claim Viaje a Campo 26 y 27/05/2014/ Jose Angel Perez,10226013,,5054.55,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3904,account.move.line,am_cicsa_20000000138,Claim Viaje a Campo 07-08/04/2014/ Jose campuzano,20101202,4634.5,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3905,account.move.line,am_cicsa_20000000138,Claim Viaje a Campo 07-08/04/2014/ Jose campuzano,10226013,,4634.5,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3906,account.move.line,am_cicsa_19000000470,"Surfac. Lubricante & Limpiador D/T Tambor. Y Servicio de Flete - Factura Nro. 14598/ P.P.S., C.A. ",11213103,246200,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3907,account.move.line,am_cicsa_19000000470,"IVA - Factura Nro. 14598/ P.P.S., C.A. ",11203113,29544,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3908,account.move.line,am_cicsa_19000000470,"IVA Ret - Factura Nro. 14598/ P.P.S., C.A. ",20140109,,22158,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3909,account.move.line,am_cicsa_19000000470,"Tax Withholding -  Factura Nro. 14598/ P.P.S., C.A. ",20140101,,364,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3910,account.move.line,am_cicsa_19000000470,"Surfac. Lubricante & Limpiador D/T Tambor. Y Servicio de Flete - Factura Nro. 14598/ P.P.S., C.A. ",20101002,,253222,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3911,account.move.line,am_cicsa_19000000471,"Caribean Port 3520 (Gto reemb Serv. Obrero Morichal Factura 05571 Logiscarm, C.A)",11213103,22797.04,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3912,account.move.line,am_cicsa_19000000471,"IVA Caribean Port 3520 (Gto reemb Serv. Obrero Morichal Factura 05571 Logiscarm, C.A)",11203113,2735.6448,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3913,account.move.line,am_cicsa_19000000471,Gtos Admisnitrativos por servicios prestados - Factura Nro. 3520,11213103,1531.96,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3914,account.move.line,am_cicsa_19000000471,Caribean Port 3520,11203113,183.8352,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3915,account.move.line,am_cicsa_19000000471,Caribean Port Factura N. 3520,20140109,,137.88,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3916,account.move.line,am_cicsa_19000000471,Caribean Port Factura N. 3520,20140101,,30.64,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3917,account.move.line,am_cicsa_19000000471,Caribean Port Factura N. 3520,20101002,,27079.96,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3918,account.move.line,am_cicsa_19000000472,Internet LAN services for  febrero  2014- CANTV - Inv. Nro FMI140000004344/ CANTV,73121003,7503,,cicsa_data.aapi_002,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3919,account.move.line,am_cicsa_19000000472,Inv. Nro FMI140000004344/ CANTV,11203114,900.36,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3920,account.move.line,am_cicsa_19000000472,Inv. Nro FMI140000004344/ CANTV,20140109,,900.36,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3921,account.move.line,am_cicsa_19000000472,Factura Nro 60/ CANTV,20140101,,150.06,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3922,account.move.line,am_cicsa_19000000472,Internet LAN services for  febrero  2014- CANTV - Inv. Nro FMI140000004344/ CANTV,20101002,,7352.94,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3923,account.move.line,am_cicsa_19000000473,Pos # 14-2 X Downhole pressu temperature and vibration gaug - Pos #20 Surface datalogger. Inv. 10672043 RI/ Weatherford Trinidad LTD,11213103,1716467.382,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3924,account.move.line,am_cicsa_19000000473,Pos # 14-2 X Downhole pressu temperature and vibration gaug - Pos #20 Surface datalogger. Inv. 10672043 RI/ Weatherford Trinidad LTD,20181002,,1716467.382,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3925,account.move.line,am_cicsa_19000000474,"Inv. Nro. 27680 - Motor ABB M3GP280SMB6, 440 VAC, 60 Hz 75 HP VSD Driven induction Motor for the ""Twin-Motor"" /Controles Electricos DIASA, S.A",11203103,535830,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3926,account.move.line,am_cicsa_19000000474,"IVA Inv. Nro. 27680 - Motor ABB M3GP280SMB6, 440 VAC, 60 Hz 75 HP VSD Driven induction Motor for the ""Twin-Motor"" /Controles Electricos DIASA, S.A",11203113,64299.6,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3927,account.move.line,am_cicsa_19000000474,"IVA Retention Inv. Nro. 27680 - Motor ABB M3GP280SMB6, 440 VAC, 60 Hz 75 HP VSD Driven induction Motor for the ""Twin-Motor"" /Controles Electricos DIASA, S.A",20140109,,48224.7,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3928,account.move.line,am_cicsa_19000000474,"Inv. Nro. 27680 - Motor ABB M3GP280SMB6, 440 VAC, 60 Hz 75 HP VSD Driven induction Motor for the ""Twin-Motor"" /Controles Electricos DIASA, S.A",20101002,,551904.9,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3929,account.move.line,am_cicsa_19000000475,"Inv. Nro. 1210 - z 75 HP VSD Driven induction Motor for the ""Twin-Motor"" /Controles Electricos Panama",11213103,1440180,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3930,account.move.line,am_cicsa_19000000475,"Inv. Nro. 1210 - z 75 HP VSD Driven induction Motor for the ""Twin-Motor"" /Controles Electricos Panama",20181002,,1440180,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3931,account.move.line,am_cicsa_19000000476,Cobro PCB Aviso de Pago 1500000504/ COBRANZA PETROCARABOBO/ Aviso de pago 150000504,10226013,14956702.08,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3932,account.move.line,am_cicsa_19000000476,Factura 310 - Caribean Port 3191 Almacenaje - Aviso de Pago 1500000504/ COBRANZA PETROCARABOBO,11203103,,2288420.26,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3933,account.move.line,am_cicsa_19000000476,Factura 310 - IVA Caribean Port 3191 Almacenaje - Aviso de Pago 1500000504/ COBRANZA PETROCARABOBO,11203103,,137305.26,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3934,account.move.line,am_cicsa_19000000476,Factura 310 - Caribean Port 3191 Almacenaje - Aviso de Pago 1500000504/ COBRANZA PETROCARABOBO,11203113,,16476.63,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3935,account.move.line,am_cicsa_19000000476,"Factura 322 - Diluent Injection Line (3/4"" X 0,0655"" AISI 316L) (Item 13) EVI 3013408 RI/ COBRANZA PETROCARABOBO",11203103,,1233700,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3936,account.move.line,am_cicsa_19000000476,Factura 322 - IVA - EVI 3013408 RI/ COBRANZA PETROCARABOBO,11203113,,148044,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3937,account.move.line,am_cicsa_19000000476,Factura 325 - 2Q  febrero 2014 G&A CICSA/ COBRANZA PETROCARABOBO,73115901,,568319.33,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3938,account.move.line,am_cicsa_19000000476,Factura 326 - 1Q Marzo costos PCB/ COBRANZA PETROCARABOBO,73115901,,134405.96,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3939,account.move.line,am_cicsa_19000000476,IVA Factura 326 - 1Q Marzo costos PCB/ COBRANZA PETROCARABOBO,11203113,,16128.66,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3940,account.move.line,am_cicsa_19000000476,Factura 327. Caribean Port Viajes Chuto- Batea/ COBRANZA PETROCARABOBO,11203103,,2226929.74,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3941,account.move.line,am_cicsa_19000000476,IVA Factura 327. Caribean Port Viajes Chuto- Batea/ COBRANZA PETROCARABOBO,11203113,,108313.49,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3942,account.move.line,am_cicsa_19000000476,Factura Nro 328. 1Q MARZO 2014 - Inv 225/ COBRANZA PETROCARABOBO,11203103,,35861.45,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3943,account.move.line,am_cicsa_19000000476,IVA Factura Nro 328. 1Q MARZO 2014. Inv 225/ COBRANZA PETROCARABOBO,11203113,,4303.37,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3944,account.move.line,am_cicsa_19000000476,Factura Nro 328.  1Q MARZO 2014/ COBRANZA PETROCARABOBO,73115901,,172080.07,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3945,account.move.line,am_cicsa_19000000476,Factura Nro 328.  1Q MARZO 2014/ COBRANZA PETROCARABOBO,11203114,,20021.81,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3946,account.move.line,am_cicsa_19000000476,Factura 331. 2Q Marzo. Caribean Port / COBRANZA PETROCARABOBO,11203103,,762932.61,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3947,account.move.line,am_cicsa_19000000476,IVA Factura 331. 2Q Marzo. Caribean Port / COBRANZA PETROCARABOBO,11203113,,91551.91,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3948,account.move.line,am_cicsa_19000000476,Factura 332 - 2Q Marzo / COBRANZA PETROCARABOBO,73115901,,608187.8,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3949,account.move.line,am_cicsa_19000000476,Factura Nro 333.  2Q MARZO 2014/ COBRANZA PETROCARABOBO,73115901,,261741.5,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3950,account.move.line,am_cicsa_19000000476,IVA Factura Nro 333.  2Q MARZO 2014/ COBRANZA PETROCARABOBO,11203114,,31408.97,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3951,account.move.line,am_cicsa_19000000476,Factura Nro 334.  1Q Abril Costos PCB/ COBRANZA PETROCARABOBO,73115901,,49472.21,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3952,account.move.line,am_cicsa_19000000476,Factura 337. 1Q Abril Costos PCB EVI/ COBRANZA PETROCARABOBO,11203103,,4298372,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3953,account.move.line,am_cicsa_19000000476,IVA Factura 337. 1Q Abril Costos PCB EVI/ COBRANZA PETROCARABOBO,11203113,,515804.62,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3954,account.move.line,am_cicsa_19000000476,Factura Nro 340.  1Q ABRIL 2014/ COBRANZA PETROCARABOBO,73115901,,289982.06,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3955,account.move.line,am_cicsa_19000000476,IVA Factura Nro 340.  1Q ABRIL 2014/ COBRANZA PETROCARABOBO,11203114,,33328.26,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3956,account.move.line,am_cicsa_19000000476,Factura Nro 344.  Labor JLR/ COBRANZA PETROCARABOBO,73115901,,607607.12,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3957,account.move.line,am_cicsa_19000000476,IVA Factura Nro 344.  Labor JLR/ COBRANZA PETROCARABOBO,11203114,,72912.85,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3958,account.move.line,am_cicsa_19000000476,Factura Nro 347.  Labor JLR (Retroactivo mayoo - Sept)./ COBRANZA PETROCARABOBO,73115901,,133953.23,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3959,account.move.line,am_cicsa_19000000476,IVA Factura Nro 347.  Labor JLR (Retroactivo mayoo - Sept)./ COBRANZA PETROCARABOBO,11203114,,16074.39,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3960,account.move.line,am_cicsa_19000000476,Factura Nro 348.  Reembolsables JLR 2Q Feb 2014/ COBRANZA PETROCARABOBO,73115901,,65234.4,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3961,account.move.line,am_cicsa_19000000476,IVA Factura Nro  348. Reembolsables JLR 2Q Feb 2014/ COBRANZA PETROCARABOBO,11203114,,7828.12,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3962,account.move.line,am_cicsa_19000000477,"Sportage Placa AC449TD. Luis Delgado Vehiculos Alquiler mayo 2014/ Cooperativa Montesacro 100, R.L",73103001,103200,,cicsa_data.aapi_010,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3963,account.move.line,am_cicsa_19000000477,"Ford F-250 Placa A13AS1B. Anyel Ramirez Vehiculos Alquiler mayo 2014/ Cooperativa Montesacro 100, R.L",73103001,21500,,cicsa_data.aapi_010,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3964,account.move.line,am_cicsa_19000000477,"Jeep Gran Cherokee. Placa AA508RD. Jose Marcano Vehiculos Alquiler mayo 2014/ Cooperativa Montesacro 100, R.L",73103001,81700,,cicsa_data.aapi_010,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3965,account.move.line,am_cicsa_19000000477,"Mazda BT-50 Placa A07BJ0K. Pedro Arevalo. Vehiculos Alquiler mayo 2014/ Cooperativa Montesacro 100, R.L",73103001,133300,,cicsa_data.aapi_010,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3966,account.move.line,am_cicsa_19000000477,"Jeep Cherokee Placa AC357RD. Alfonso Arroyo Vehiculos Alquiler mayo 2014/ Cooperativa Montesacro 100, R.L",73103001,133300,,cicsa_data.aapi_010,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3967,account.move.line,am_cicsa_19000000477," Vehiculos Alquiler mayo 2014/ Cooperativa Montesacro 100, R.L",20101002,,473000,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3968,account.move.line,am_cicsa_19000000478,"Sportage Placa AC449TD. Luis Delgado Vehiculos Alquiler marzo  2014/ Cooperativa Montesacro 100, R.L",73103001,133300,,cicsa_data.aapi_010,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
aml_cicsa_3969,account.move.line,am_cicsa_19000000478,"Ford F-250 Placa A13AS1B. Anyel Ramirez Vehiculos Alquiler marzo  2014/ Cooperativa Montesacro 100, R.L",73103001,133300,,cicsa_data.aapi_010,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_06
