id,model,name,move_id:id,account_id:id,debit,credit,analytics_id:id,journal_id:id,period_id:id
str,str,str,ref,search;code,str,str,ref,ref,ref
aml_cicsa_march_001,account.move.line,Pago de Retenciones de ISLR Febrero 2014/ Tesoro Nacional,am_cicsa_19000000164,20140101,443709.11,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_002,account.move.line,Pago de Retenciones de ISLR Febrero 2014/ Tesoro Nacional,am_cicsa_19000000164,20101901,,443709.11,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_003,account.move.line,Pago de ISLR correspondiente al año 2013./ Tesoro Nacional,am_cicsa_19000000165,78301001,6001.62,,cicsa_data.aapi_017,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_004,account.move.line,ISLR retenido sobre intereses bancarios. / Tesoro Nacional,am_cicsa_19000000165,15120002,,2000.51,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_005,account.move.line,Pago de ISLR correspondiente al año 2013./ Tesoro Nacional,am_cicsa_19000000165,20101901,,4001.11,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_006,account.move.line,"Estacionamiento CICSA Marzo 2014/ Garaje Torre BVC, C.A",am_cicsa_19000000166,73149002,17410.71,,cicsa_data.aapi_021,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_007,account.move.line,"Factura Nro 00022638/ODS-00117/ Garaje Torre BVC, C.A",am_cicsa_19000000166,11203114,2089.29,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_008,account.move.line,"Factura Nro 00022638/ODS-00117/ Garaje Torre BVC, C.A",am_cicsa_19000000166,20140109,,1566.97,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_009,account.move.line,"Factura Nro 00022638/ODS-00117/ Garaje Torre BVC, C.A",am_cicsa_19000000166,20140101,,348.21,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_010,account.move.line,"Factura Nro 00022638/ODS-00117/ Garaje Torre BVC, C.A",am_cicsa_19000000166,20101002,,17584.82,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_011,account.move.line,"Estacionamiento PCB Marzo -2014/ODS-00117/ Garaje Torre BVC, C.A",am_cicsa_19000000166,11213103,15401.79,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_012,account.move.line,"Factura Nro 00022639/ODS-00117/ Garaje Torre BVC, C.A",am_cicsa_19000000166,11203113,1848.21,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_013,account.move.line,"Factura Nro 00022639/ODS-00117/ Garaje Torre BVC, C.A",am_cicsa_19000000166,20140109,,1386.16,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_014,account.move.line,"Factura Nro 00022639/ODS-00117/ Garaje Torre BVC, C.A",am_cicsa_19000000166,20140101,,308.04,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_015,account.move.line,"Factura Nro 00022639/ODS-00117/ Garaje Torre BVC, C.A",am_cicsa_19000000166,20101002,,15555.80,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_016,account.move.line,"Gastos Administrativos por emision de tarjeta nro 25429-5112 Febrero -2014 /ODS-00117/ Garaje Torre BVC, C.A",am_cicsa_19000000166,11213103,156.25,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_017,account.move.line,"Factura Nro 00022620 /ODS-00117/ Garaje Torre BVC, C.A",am_cicsa_19000000166,11203114,18.75,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_018,account.move.line,"Factura Nro 00022620 /ODS-00117/ Garaje Torre BVC, C.A",am_cicsa_19000000166,20140109,,14.06,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_019,account.move.line,"Factura Nro 00022620 /ODS-00117/ Garaje Torre BVC, C.A",am_cicsa_19000000166,20140101,,3.13,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_020,account.move.line,"Factura Nro 00022620 /ODS-00117/ Garaje Torre BVC, C.A",am_cicsa_19000000166,20101002,,157.81,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_021,account.move.line,Bank Fee January 14/ Citibank,am_cicsa_19000000167,78260001,2690.10,,cicsa_data.aapi_017,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_022,account.move.line,Bank Fee January 14/ Citibank,am_cicsa_19000000167,10439033,,2690.10,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_023,account.move.line,Bank Fee January 14/ Citibank,am_cicsa_19000000167,78260001,157.50,,cicsa_data.aapi_017,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_024,account.move.line,Bank Fee January 14/ Citibank,am_cicsa_19000000167,10439033,,157.50,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_025,account.move.line,Bank Fee January 14/ Citibank,am_cicsa_19000000168,78260001,6.40,,cicsa_data.aapi_017,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_026,account.move.line,Bank Fee January 14/ Citibank,am_cicsa_19000000168,10226014,,6.40,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_027,account.move.line,20-29 Garaje Torre BVC,am_cicsa_19000000169,20101002,9.37,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_028,account.move.line,20-29 Garaje Torre BVC,am_cicsa_19000000169,10226014,,9.37,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_029,account.move.line,"Advance to Dell World Trade, L.P 100% to active the Warranty.",am_cicsa_19000000170,15110001,103194.00,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_030,account.move.line,"Advance to Dell World Trade, L.P 100% to active the Warranty.",am_cicsa_19000000170,20181002,,103194.00,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_031,account.move.line,Jose Mantelini,am_cicsa_20000000022,10226014,1620.00,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_032,account.move.line,Jose Mantelini,am_cicsa_20000000022,20101202,,1620.00,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_033,account.move.line,"Celulares Mes de Febrero  del 2014/ Telefónica Venezolana, C.A.",am_cicsa_19000000171,73121003,16419.04,,cicsa_data.aapi_016,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_034,account.move.line,"Roaming Internacional/ Telefónica Venezolana, C.A.",am_cicsa_19000000171,73121003,5231.64,,cicsa_data.aapi_016,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_035,account.move.line,"Fact Nro. 44832949/ Telefónica Venezolana, C.A.",am_cicsa_19000000171,11203114,1970.28,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_036,account.move.line,"Fact Nro. 44832949/ Telefónica Venezolana, C.A.",am_cicsa_19000000171,20140109,,1970.28,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_037,account.move.line,"Fact Nro. 44832949/ Telefónica Venezolana, C.A.",am_cicsa_19000000171,20101002,,21650.68,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_038,account.move.line,"Anticipoa la Obra: Suministro e Instlacion de Modulos de Oficina para Petrocarabobo y Cicsa/ Laminas Lara, C.A",am_cicsa_19000000172,11213103,3450780.90,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_039,account.move.line,"Fact Nro. 3527/ Laminas Lara, C.A",am_cicsa_19000000172,11203113,414093.71,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
aml_cicsa_march_040,account.move.line,"Fact Nro. 3527/ Laminas Lara, C.A",am_cicsa_19000000172,20140109,,310570.28,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_03
