id,model,move_id:id,name,account_id:id,debit,credit,analytics_id:id,journal_id:id,period_id:id
str,str,ref,str,search;code,str,str,ref,ref,ref
aml_cicsa_3013,account.move.line,am_cicsa_19000000342,Transferencia del Citibank a Banesco para el pago de impuestos/ Banesco VEB,10226014,90000,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
aml_cicsa_3014,account.move.line,am_cicsa_19000000342,Transferencia del Citibank a Banesco para el pago de impuestos/ citibank,10226013,,90000,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
aml_cicsa_3015,account.move.line,am_cicsa_19000000343,Pago de retenciones de ISLR abril 2014/ Tesoro Nacional,20140101,182414.4,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
aml_cicsa_3016,account.move.line,am_cicsa_19000000343,Pago de retenciones de ISLR abril 2014/ Tesoro Nacional,20101901,,182414.4,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
aml_cicsa_3017,account.move.line,am_cicsa_20000000095,ISLR abril 2014/ Tesoro Nacional,20101901,182414.4,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
aml_cicsa_3018,account.move.line,am_cicsa_20000000095,ISLR abril 2014/ Tesoro Nacional,10226014,,182414.4,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
aml_cicsa_3019,account.move.line,am_cicsa_19000000344,"Administracion de Nomina marzo  2014, 11.550.491/ J.L.R System Solution, c.a",73114004,39429.82,,cicsa_data.aapi_018,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
aml_cicsa_3020,account.move.line,am_cicsa_19000000344,"Administracion de Nomina marzo  2014. 10,998,037/ J.L.R System Solution, c.a",73114004,43152.05,,cicsa_data.aapi_025,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
aml_cicsa_3021,account.move.line,am_cicsa_19000000344,"Administracion de Nomina marzo  2014. 11,657,498 / J.L.R System Solution, c.a",73114004,58864.48,,cicsa_data.aapi_018,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
aml_cicsa_3022,account.move.line,am_cicsa_19000000344,"Administracion de Nomina marzo  2014,17,900,937/ J.L.R System Solution, c.a",73114004,24039.48,,cicsa_data.aapi_020,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
aml_cicsa_3023,account.move.line,am_cicsa_19000000344,"Administracion de Nomina marzo  2014, 7,800,290/ J.L.R System Solution, c.a",73114004,67084.16,,cicsa_data.aapi_024,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
aml_cicsa_3024,account.move.line,am_cicsa_19000000344,"Administracion de Nominamarzo  2014. 5,087,848/ J.L.R System Solution, c.a",73114004,69355.78,,cicsa_data.aapi_024,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
aml_cicsa_3025,account.move.line,am_cicsa_19000000344,"Administracion de Nomina marzo  2014, 4,212,341/ J.L.R System Solution, c.a",73114004,79018.82,,cicsa_data.aapi_020,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
aml_cicsa_3026,account.move.line,am_cicsa_19000000344,"Administracion de Nomina marzo  2014, 6,143,833/ J.L.R System Solution, c.a",73114004,42052.07,,cicsa_data.aapi_018,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
aml_cicsa_3027,account.move.line,am_cicsa_19000000344,"Administracion de Nomina marzo  2014, 13,612,323/ J.L.R System Solution, c.a",73114004,62022.78,,cicsa_data.aapi_015,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
aml_cicsa_3028,account.move.line,am_cicsa_19000000344,"Administracion de Nomina marzo  2014, 14,431,703/ J.L.R System Solution, c.a",73114004,40576.89,,cicsa_data.aapi_024,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
aml_cicsa_3029,account.move.line,am_cicsa_19000000344,"Administracion de Nomina marzo  2014. 16,315,024/ J.L.R System Solution, c.a",73114004,35022.82,,cicsa_data.aapi_025,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
aml_cicsa_3030,account.move.line,am_cicsa_19000000344,"Administracion de Nomina marzo  2014, 14,330,326/ J.L.R System Solution, c.a",73114004,54324.91,,cicsa_data.aapi_024,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
aml_cicsa_3031,account.move.line,am_cicsa_19000000344,"13680/ J.L.R System Solution, c.a",11203114,73793.29,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
aml_cicsa_3032,account.move.line,am_cicsa_19000000344,"13680/ J.L.R System Solution, c.a",20140109,,55344.97,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
aml_cicsa_3033,account.move.line,am_cicsa_19000000344,"13680/ J.L.R System Solution, c.a",20140101,,12298.88,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
aml_cicsa_3034,account.move.line,am_cicsa_19000000344,"13680/ J.L.R System Solution, c.a",20101002,,621093.5,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
aml_cicsa_3035,account.move.line,am_cicsa_19000000345,"Gastos comida Luis Delgado/ J.L.R System Solution, c.a",73114004,20941.8,,cicsa_data.aapi_024,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
aml_cicsa_3036,account.move.line,am_cicsa_19000000345,"Gastos comida Luis Delgado/ J.L.R System Solution, c.a",11203114,2513.02,,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
aml_cicsa_3037,account.move.line,am_cicsa_19000000345,"13685/ J.L.R System Solution, c.a",20140109,,1884.77,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
aml_cicsa_3038,account.move.line,am_cicsa_19000000345,"Gastos comida Luis Delgado/ J.L.R System Solution, c.a",20140101,,418.84,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
aml_cicsa_3039,account.move.line,am_cicsa_19000000345,"Gastos comida Luis Delgado/ J.L.R System Solution, c.a",20101002,,21151.21,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_05
