id,model,partner_id:id,amount_currency,currency_id:id
str,str,search;vat,str,ref
aml_cicsa_2260,account.move.line,VEV179009370,,
aml_cicsa_2261,account.move.line,VEV179009370,,
aml_cicsa_2262,account.move.line,VEV179009370,,
aml_cicsa_2263,account.move.line,VEV133184402,,
aml_cicsa_2264,account.move.line,VEV133184402,,
aml_cicsa_2265,account.move.line,VEV133184402,,
aml_cicsa_2266,account.move.line,VEV133184402,,
aml_cicsa_2267,account.move.line,VEV133184402,,
aml_cicsa_2268,account.move.line,VEV151548993,,
aml_cicsa_2269,account.move.line,VEV151548993,,
aml_cicsa_2270,account.move.line,VEV151548993,,
aml_cicsa_2271,account.move.line,VEJ003539554,,
aml_cicsa_2272,account.move.line,VEJ003539554,,
aml_cicsa_2273,account.move.line,VEJ003539554,,
aml_cicsa_2274,account.move.line,VEJ003539554,,
aml_cicsa_2275,account.move.line,VEJ003539554,,
aml_cicsa_2276,account.move.line,VEJ313040045,,
aml_cicsa_2277,account.move.line,VEJ313040045,,
aml_cicsa_2278,account.move.line,VEJ313040045,,
aml_cicsa_2279,account.move.line,VEJ313040045,,
aml_cicsa_2280,account.move.line,VEJ313040045,,
aml_cicsa_2281,account.move.line,VEJ313040045,,
aml_cicsa_2282,account.move.line,VEJ313040045,,
aml_cicsa_2283,account.move.line,VEJ313040045,,
aml_cicsa_2284,account.move.line,VEJ313040045,,
aml_cicsa_2285,account.move.line,VEJ313040045,,
aml_cicsa_2286,account.move.line,VEJ001824421,,
aml_cicsa_2287,account.move.line,VEJ001824421,,
aml_cicsa_2288,account.move.line,VEJ001824421,,
aml_cicsa_2289,account.move.line,VEJ001824421,,
aml_cicsa_2290,account.move.line,VEJ001824421,,
aml_cicsa_2291,account.move.line,VEJ001824421,,
aml_cicsa_2292,account.move.line,VEJ001824421,,
aml_cicsa_2293,account.move.line,VEJ001824421,,
aml_cicsa_2294,account.move.line,VEJ001824421,,
aml_cicsa_2295,account.move.line,VEJ001824421,,
aml_cicsa_2296,account.move.line,VEJ001824421,,
aml_cicsa_2297,account.move.line,VEJ001824421,,
aml_cicsa_2298,account.move.line,VEJ001824421,,
aml_cicsa_2299,account.move.line,VEJ001824421,,
aml_cicsa_2300,account.move.line,VEJ001824421,,
aml_cicsa_2301,account.move.line,VEJ001824421,,
aml_cicsa_2302,account.move.line,VEJ001824421,,
aml_cicsa_2303,account.move.line,VEJ001824421,,
aml_cicsa_2304,account.move.line,VEJ001824421,,
aml_cicsa_2305,account.move.line,VEJ001824421,,
aml_cicsa_2306,account.move.line,VEJ001824421,,
aml_cicsa_2307,account.move.line,VEJ001824421,,
aml_cicsa_2308,account.move.line,VEJ001824421,,
aml_cicsa_2309,account.move.line,VEJ001824421,,
aml_cicsa_2310,account.move.line,VEJ001824421,,
aml_cicsa_2311,account.move.line,VEJ001824421,,
aml_cicsa_2312,account.move.line,VEJ001824421,,
aml_cicsa_2313,account.move.line,VEJ001824421,,
aml_cicsa_2314,account.move.line,VEJ001824421,,
aml_cicsa_2315,account.move.line,VEJ001824421,,
aml_cicsa_2316,account.move.line,VEV179009370,,
aml_cicsa_2317,account.move.line,VEV179009370,,
aml_cicsa_2318,account.move.line,VEV179009370,,
aml_cicsa_2319,account.move.line,VEG200000031,,
aml_cicsa_2320,account.move.line,VEG200000031,,
aml_cicsa_2321,account.move.line,VEV061438331,,
aml_cicsa_2322,account.move.line,VEV061438331,,
aml_cicsa_2323,account.move.line,VEV061438331,,
aml_cicsa_2324,account.move.line,VEV061438331,,
aml_cicsa_2325,account.move.line,VEJ301406834,,
aml_cicsa_2326,account.move.line,VEJ301406834,,
aml_cicsa_2327,account.move.line,VEJ301406834,,
aml_cicsa_2328,account.move.line,VEJ301406834,,
aml_cicsa_2329,account.move.line,VEJ301406834,,
aml_cicsa_2330,account.move.line,VEJ301406834,,
aml_cicsa_2331,account.move.line,VEJ301406834,,
aml_cicsa_2332,account.move.line,VEJ301406834,,
aml_cicsa_2333,account.move.line,VEJ301406834,,
aml_cicsa_2334,account.move.line,VEJ301406834,,
aml_cicsa_2335,account.move.line,VEJ301406834,,
aml_cicsa_2336,account.move.line,VEJ301406834,,
aml_cicsa_2337,account.move.line,VEJ301406834,,
aml_cicsa_2338,account.move.line,VEJ301406834,,
aml_cicsa_2339,account.move.line,VEJ301406834,,
aml_cicsa_2340,account.move.line,VEJ301406834,,
aml_cicsa_2341,account.move.line,VEJ301406834,,
aml_cicsa_2342,account.move.line,VEJ301406834,,
aml_cicsa_2343,account.move.line,VEJ000815747,,
aml_cicsa_2344,account.move.line,VEJ000815747,,
aml_cicsa_2345,account.move.line,VEJ000815747,,
aml_cicsa_2346,account.move.line,VEJ000815747,,
aml_cicsa_2347,account.move.line,VEJ000815747,,
aml_cicsa_2348,account.move.line,VEJ003439940,,
aml_cicsa_2349,account.move.line,VEJ003439940,,
aml_cicsa_2350,account.move.line,VEJ003439940,,
aml_cicsa_2351,account.move.line,VEJ003439940,,
aml_cicsa_2352,account.move.line,VEJ003439940,,
aml_cicsa_2353,account.move.line,VEJ003439940,,
aml_cicsa_2354,account.move.line,VEJ003439940,,
aml_cicsa_2355,account.move.line,VEJ003439940,,
aml_cicsa_2356,account.move.line,VEV045344734,,
aml_cicsa_2357,account.move.line,VEV045344734,,
aml_cicsa_2358,account.move.line,VEV045344734,,
aml_cicsa_2359,account.move.line,VEV045344734,,
aml_cicsa_2360,account.move.line,VEV045344734,,
aml_cicsa_2361,account.move.line,VEV045344734,,
aml_cicsa_2362,account.move.line,VEV179009370,,
aml_cicsa_2363,account.move.line,VEV179009370,,
aml_cicsa_2364,account.move.line,VEV179009370,,
aml_cicsa_2365,account.move.line,VEJ301406834,,
aml_cicsa_2366,account.move.line,VEJ301406834,,
aml_cicsa_2367,account.move.line,VEJ301406834,,
aml_cicsa_2368,account.move.line,VEJ301406834,,
aml_cicsa_2369,account.move.line,VEJ301406834,,
aml_cicsa_2370,account.move.line,VEJ301406834,,
aml_cicsa_2371,account.move.line,VEJ301406834,,
aml_cicsa_2372,account.move.line,VEJ301406834,,
aml_cicsa_2373,account.move.line,VEJ301406834,,
aml_cicsa_2374,account.move.line,VEJ301406834,,
aml_cicsa_2375,account.move.line,VEJ301406834,,
aml_cicsa_2376,account.move.line,VEJ301406834,,
aml_cicsa_2377,account.move.line,VEV063663170,,
aml_cicsa_2378,account.move.line,VEV063663170,,
aml_cicsa_2379,account.move.line,VEV179009370,,
aml_cicsa_2380,account.move.line,VEV179009370,,
aml_cicsa_2381,account.move.line,VEJ306203117,,
aml_cicsa_2382,account.move.line,VEJ306203117,,
aml_cicsa_2383,account.move.line,VEJ306203117,,
aml_cicsa_2384,account.move.line,VEJ306203117,,
aml_cicsa_2385,account.move.line,VEJ306203117,,
aml_cicsa_2386,account.move.line,VEJ306203117,,
aml_cicsa_2387,account.move.line,VEJ306203117,,
aml_cicsa_2388,account.move.line,VEJ306203117,,
aml_cicsa_2389,account.move.line,VEJ306203117,,
aml_cicsa_2390,account.move.line,VEJ306203117,,
aml_cicsa_2391,account.move.line,VEJ306203117,,
aml_cicsa_2392,account.move.line,VEJ306203117,,
aml_cicsa_2393,account.move.line,VEJ306203117,,
aml_cicsa_2394,account.move.line,VEJ306203117,,
aml_cicsa_2395,account.move.line,VEJ306203117,,
aml_cicsa_2396,account.move.line,VEJ306203117,,
aml_cicsa_2397,account.move.line,VEJ306203117,,
aml_cicsa_2398,account.move.line,VEJ306203117,,
aml_cicsa_2399,account.move.line,VEJ306203117,,
aml_cicsa_2400,account.move.line,VEJ306203117,,
aml_cicsa_2401,account.move.line,VEJ306203117,,
aml_cicsa_2402,account.move.line,VEJ306203117,,
aml_cicsa_2403,account.move.line,VEJ306203117,,
aml_cicsa_2404,account.move.line,VEJ306203117,,
aml_cicsa_2405,account.move.line,VEJ306203117,,
aml_cicsa_2406,account.move.line,VEJ306203117,,
aml_cicsa_2407,account.move.line,VEJ306203117,,
aml_cicsa_2408,account.move.line,VEJ306203117,,
aml_cicsa_2409,account.move.line,VEJ306203117,,
aml_cicsa_2410,account.move.line,VEJ306203117,,
aml_cicsa_2411,account.move.line,VEJ306203117,,
aml_cicsa_2412,account.move.line,VEJ306203117,,
aml_cicsa_2413,account.move.line,VEJ306203117,,
aml_cicsa_2414,account.move.line,VEJ306203117,,
aml_cicsa_2415,account.move.line,VEJ306203117,,
aml_cicsa_2416,account.move.line,VEJ303738001,,
aml_cicsa_2417,account.move.line,VEJ303738001,,
aml_cicsa_2418,account.move.line,VEJ303738001,,
aml_cicsa_2419,account.move.line,VEJ303738001,,
aml_cicsa_2420,account.move.line,VEJ303738001,,
aml_cicsa_2421,account.move.line,VEJ303738001,,
aml_cicsa_2422,account.move.line,VEJ303738001,,
aml_cicsa_2423,account.move.line,VEJ303738001,,
aml_cicsa_2424,account.move.line,VEJ303738001,,
aml_cicsa_2425,account.move.line,VEJ303738001,,
aml_cicsa_2426,account.move.line,VEJ303738001,,
aml_cicsa_2427,account.move.line,VEJ303738001,,
aml_cicsa_2428,account.move.line,VEJ303738001,,
aml_cicsa_2429,account.move.line,VEJ303738001,,
aml_cicsa_2430,account.move.line,VEJ303738001,,
aml_cicsa_2431,account.move.line,VEJ303738001,,
aml_cicsa_2432,account.move.line,VEJ303738001,,
aml_cicsa_2433,account.move.line,VEJ303738001,,
aml_cicsa_2434,account.move.line,VEJ303738001,,
aml_cicsa_2435,account.move.line,VEJ303738001,,
aml_cicsa_2436,account.move.line,VEJ303738001,,
aml_cicsa_2437,account.move.line,,705941.60,base.USD
aml_cicsa_2438,account.move.line,,50462.46,base.USD
aml_cicsa_2439,account.move.line,,201779.60,base.USD
aml_cicsa_2440,account.move.line,,-958183.66,base.USD
aml_cicsa_2441,account.move.line,VEV049726860,,
aml_cicsa_2442,account.move.line,VEV049726860,,
aml_cicsa_2443,account.move.line,VEV089702840,,
aml_cicsa_2444,account.move.line,VEV089702840,,
aml_cicsa_2445,account.move.line,VEJ297785213,,
aml_cicsa_2446,account.move.line,VEJ297785213,,
aml_cicsa_2447,account.move.line,VEJ297785213,,
aml_cicsa_2448,account.move.line,VEJ297785213,,
aml_cicsa_2449,account.move.line,VEJ297785213,,
aml_cicsa_2450,account.move.line,VEJ400406811,,
aml_cicsa_2451,account.move.line,VEJ400406811,,
aml_cicsa_2452,account.move.line,VEJ400406811,,
aml_cicsa_2453,account.move.line,VEJ400406811,,
aml_cicsa_2454,account.move.line,VEJ400406811,,
aml_cicsa_2455,account.move.line,VEJ400406811,,
aml_cicsa_2456,account.move.line,VEJ400406811,,
aml_cicsa_2457,account.move.line,VEJ400406811,,
aml_cicsa_2458,account.move.line,VEJ400406811,,
aml_cicsa_2459,account.move.line,VEJ400406811,,
aml_cicsa_2460,account.move.line,VEJ400406811,,
aml_cicsa_2461,account.move.line,VEJ400406811,,
aml_cicsa_2462,account.move.line,VEJ400406811,,
aml_cicsa_2463,account.move.line,VEJ400406811,,
aml_cicsa_2464,account.move.line,VEJ400406811,,
aml_cicsa_2465,account.move.line,VEJ400406811,,
aml_cicsa_2466,account.move.line,VEJ400406811,,
aml_cicsa_2467,account.move.line,VEJ400406811,,
aml_cicsa_2468,account.move.line,VEJ400406811,,
aml_cicsa_2469,account.move.line,VEJ400406811,,
aml_cicsa_2470,account.move.line,VEJ400406811,,
aml_cicsa_2471,account.move.line,VEJ400406811,,
