id,model,partner_id:id,amount_currency,currency_id:id
str,str,search;vat,str,ref
aml_cicsa_5288,account.move.line,VEV061438331,,
aml_cicsa_5289,account.move.line,VEV061438331,,
aml_cicsa_5290,account.move.line,VEV061438331,,
aml_cicsa_5291,account.move.line,VEV061438331,,
aml_cicsa_5292,account.move.line,VEV061438331,,
aml_cicsa_5293,account.move.line,VEV061438331,,
aml_cicsa_5294,account.move.line,VEV061438331,,
aml_cicsa_5295,account.move.line,VEV061438331,,
aml_cicsa_5296,account.move.line,VEV061438331,,
aml_cicsa_5297,account.move.line,VEV061438331,,
aml_cicsa_5298,account.move.line,VEV179009370,,
aml_cicsa_5299,account.move.line,VEV179009370,,
aml_cicsa_5300,account.move.line,VEV179009370,,
aml_cicsa_5301,account.move.line,VEV179009370,,
aml_cicsa_5302,account.move.line,VEV179009370,,
aml_cicsa_5303,account.move.line,VEV179009370,,
aml_cicsa_5304,account.move.line,VEV179009370,,
aml_cicsa_5305,account.move.line,VEV179009370,,
aml_cicsa_5306,account.move.line,VEJ402516690,12859.00,base.USD
aml_cicsa_5307,account.move.line,VEJ402516690,-12859.00,base.USD
aml_cicsa_5308,account.move.line,VEJ402516690,,
aml_cicsa_5309,account.move.line,VEJ402516690,,
aml_cicsa_5310,account.move.line,VEJ402516690,14682.00,base.USD
aml_cicsa_5311,account.move.line,VEJ402516690,-14682.00,base.USD
aml_cicsa_5312,account.move.line,VEJ402516690,,
aml_cicsa_5313,account.move.line,VEJ402516690,,
aml_cicsa_5314,account.move.line,VEJ402516690,17225.00,base.USD
aml_cicsa_5315,account.move.line,VEJ402516690,-17225.00,base.USD
aml_cicsa_5316,account.move.line,VEJ402516690,,
aml_cicsa_5317,account.move.line,VEJ402516690,,
aml_cicsa_5318,account.move.line,VEV089702840,,
aml_cicsa_5319,account.move.line,VEV089702840,,
aml_cicsa_5320,account.move.line,VEV089702840,,
aml_cicsa_5321,account.move.line,VEV089702840,,
aml_cicsa_5322,account.move.line,VEJ001824421,,
aml_cicsa_5323,account.move.line,VEJ001824421,,
aml_cicsa_5324,account.move.line,VEJ001824421,,
aml_cicsa_5325,account.move.line,VEJ001824421,,
aml_cicsa_5326,account.move.line,VEJ001824421,,
aml_cicsa_5327,account.move.line,VEJ001824421,,
aml_cicsa_5328,account.move.line,VEJ001824421,,
aml_cicsa_5329,account.move.line,VEJ001824421,,
aml_cicsa_5330,account.move.line,VEJ001824421,,
aml_cicsa_5331,account.move.line,VEJ001824421,,
aml_cicsa_5332,account.move.line,VEJ001824421,,
aml_cicsa_5333,account.move.line,VEJ001824421,,
aml_cicsa_5334,account.move.line,VEJ001824421,,
aml_cicsa_5335,account.move.line,VEJ001824421,,
aml_cicsa_5336,account.move.line,,435.00,base.USD
aml_cicsa_5337,account.move.line,,-435.00,base.USD
aml_cicsa_5338,account.move.line,,25.00,base.USD
aml_cicsa_5339,account.move.line,,-25.00,base.USD
aml_cicsa_5340,account.move.line,,12.00,base.USD
aml_cicsa_5341,account.move.line,,-12.00,base.USD
aml_cicsa_5342,account.move.line,,435.00,base.USD
aml_cicsa_5343,account.move.line,,-435.00,base.USD
aml_cicsa_5344,account.move.line,,510.00,base.USD
aml_cicsa_5345,account.move.line,,-510.00,base.USD
aml_cicsa_5346,account.move.line,,452.00,base.USD
aml_cicsa_5347,account.move.line,,-452.00,base.USD
aml_cicsa_5348,account.move.line,,415.00,base.USD
aml_cicsa_5349,account.move.line,,-415.00,base.USD
aml_cicsa_5350,account.move.line,,1489.00,base.USD
aml_cicsa_5351,account.move.line,,-1489.00,base.USD
aml_cicsa_5352,account.move.line,VEJ000526621,,
aml_cicsa_5353,account.move.line,VEJ000526621,,
aml_cicsa_5354,account.move.line,VEJ000526621,,
aml_cicsa_5355,account.move.line,VEJ000526621,,
aml_cicsa_5356,account.move.line,VEJ000526621,,
aml_cicsa_5357,account.move.line,VEJ000526621,,
aml_cicsa_5358,account.move.line,VEJ000526621,,
aml_cicsa_5359,account.move.line,VEJ000526621,,
aml_cicsa_5360,account.move.line,VEJ310308292,,
aml_cicsa_5361,account.move.line,VEJ310308292,,
aml_cicsa_5362,account.move.line,VEJ310308292,,
aml_cicsa_5363,account.move.line,VEJ310308292,,
aml_cicsa_5364,account.move.line,VEJ310308292,,
aml_cicsa_5365,account.move.line,VEJ310308292,,
aml_cicsa_5366,account.move.line,VEJ310308292,,
aml_cicsa_5367,account.move.line,VEJ303738001,,
aml_cicsa_5368,account.move.line,VEJ303738001,,
aml_cicsa_5369,account.move.line,VEJ303738001,,
aml_cicsa_5370,account.move.line,VEJ303738001,,
aml_cicsa_5371,account.move.line,VEJ402516690,,
aml_cicsa_5372,account.move.line,VEJ402516690,,
aml_cicsa_5373,account.move.line,VEJ402516690,,
aml_cicsa_5374,account.move.line,VEJ402516690,,
aml_cicsa_5375,account.move.line,VEJ402516690,,
aml_cicsa_5376,account.move.line,VEJ402516690,,
aml_cicsa_5377,account.move.line,VEJ402516690,,
aml_cicsa_5378,account.move.line,VEJ402516690,,
aml_cicsa_5379,account.move.line,VEJ306203117,,
aml_cicsa_5380,account.move.line,VEJ306203117,,
aml_cicsa_5381,account.move.line,VEJ306203117,,
aml_cicsa_5382,account.move.line,VEJ306203117,,
aml_cicsa_5383,account.move.line,VEJ306203117,,
aml_cicsa_5384,account.move.line,VEJ306203117,,
aml_cicsa_5385,account.move.line,VEJ306203117,,
aml_cicsa_5386,account.move.line,VEJ306203117,,
aml_cicsa_5387,account.move.line,VEJ306203117,,
aml_cicsa_5388,account.move.line,VEJ000815747,,
aml_cicsa_5389,account.move.line,VEJ000815747,,
aml_cicsa_5390,account.move.line,VEJ000815747,,
aml_cicsa_5391,account.move.line,VEJ303900909,,
aml_cicsa_5392,account.move.line,VEJ303900909,,
aml_cicsa_5393,account.move.line,VEJ303900909,,
aml_cicsa_5394,account.move.line,VEJ303900909,,
aml_cicsa_5395,account.move.line,VEJ303900909,,
aml_cicsa_5396,account.move.line,VEJ303900909,,
aml_cicsa_5397,account.move.line,VEJ303900909,,
aml_cicsa_5398,account.move.line,VEJ303900909,,
aml_cicsa_5399,account.move.line,VEJ303900909,,
aml_cicsa_5400,account.move.line,VEJ303900909,,
aml_cicsa_5401,account.move.line,VEJ303900909,,
aml_cicsa_5402,account.move.line,VEJ303900909,,
aml_cicsa_5403,account.move.line,VEJ303900909,,
aml_cicsa_5404,account.move.line,VEJ303900909,,
aml_cicsa_5405,account.move.line,VEJ308120219,,
aml_cicsa_5406,account.move.line,VEJ308120219,,
aml_cicsa_5407,account.move.line,VEJ001824421,,
aml_cicsa_5408,account.move.line,VEJ001824421,,
aml_cicsa_5409,account.move.line,VEJ001824421,,
aml_cicsa_5410,account.move.line,VEJ001824421,,
aml_cicsa_5411,account.move.line,VEJ001824421,,
aml_cicsa_5412,account.move.line,VEJ300077713,,
aml_cicsa_5413,account.move.line,VEJ300077713,,
aml_cicsa_5414,account.move.line,VEJ300077713,,
aml_cicsa_5415,account.move.line,VEJ300077713,,
aml_cicsa_5416,account.move.line,VEJ300077713,,
aml_cicsa_5417,account.move.line,VEJ297785213,,
aml_cicsa_5418,account.move.line,VEJ297785213,,
aml_cicsa_5419,account.move.line,VEJ297785213,,
aml_cicsa_5420,account.move.line,VEJ301406834,,
aml_cicsa_5421,account.move.line,VEJ301406834,,
aml_cicsa_5422,account.move.line,VEJ301406834,,
aml_cicsa_5423,account.move.line,VEJ301406834,,
aml_cicsa_5424,account.move.line,VEJ301406834,,
aml_cicsa_5425,account.move.line,VEJ301406834,,
aml_cicsa_5426,account.move.line,VEJ301406834,,
aml_cicsa_5427,account.move.line,VEJ301406834,,
aml_cicsa_5428,account.move.line,VEJ301406834,,
aml_cicsa_5429,account.move.line,VEJ301406834,,
aml_cicsa_5430,account.move.line,VEJ301406834,,
aml_cicsa_5431,account.move.line,VEJ301406834,,
aml_cicsa_5432,account.move.line,VEJ301406834,,
aml_cicsa_5433,account.move.line,VEJ298426071,,
aml_cicsa_5434,account.move.line,VEJ298426071,,
aml_cicsa_5435,account.move.line,VEJ298426071,,
aml_cicsa_5436,account.move.line,VEJ315297876,,
aml_cicsa_5437,account.move.line,VEJ315297876,,
aml_cicsa_5438,account.move.line,VEJ315297876,,
aml_cicsa_5439,account.move.line,VEJ311082271,,
aml_cicsa_5440,account.move.line,VEJ311082271,,
aml_cicsa_5441,account.move.line,VEJ311082271,,
aml_cicsa_5442,account.move.line,VEJ310702306,,
aml_cicsa_5443,account.move.line,VEJ310702306,,
aml_cicsa_5444,account.move.line,VEJ310702306,,
aml_cicsa_5445,account.move.line,VEV089702840,,
aml_cicsa_5446,account.move.line,VEV089702840,,
aml_cicsa_5447,account.move.line,VEV089702840,,
aml_cicsa_5448,account.move.line,VEV045344734,,
aml_cicsa_5449,account.move.line,VEV045344734,,
aml_cicsa_5450,account.move.line,VEV045344734,,
aml_cicsa_5451,account.move.line,VEJ303738001,,
aml_cicsa_5452,account.move.line,VEJ303738001,,
aml_cicsa_5453,account.move.line,VEJ303738001,,
aml_cicsa_5454,account.move.line,VEJ309364391,,
aml_cicsa_5455,account.move.line,VEJ309364391,,
aml_cicsa_5456,account.move.line,VEJ309364391,,
aml_cicsa_5457,account.move.line,VEJ309364391,,
aml_cicsa_5458,account.move.line,VEJ400406811,,
aml_cicsa_5459,account.move.line,VEJ400406811,,
aml_cicsa_5460,account.move.line,VEJ400406811,,
aml_cicsa_5461,account.move.line,VEJ400406811,,
aml_cicsa_5462,account.move.line,VEJ400406811,,
aml_cicsa_5463,account.move.line,VEJ310308292,,
aml_cicsa_5464,account.move.line,VEJ310308292,,
aml_cicsa_5465,account.move.line,VEJ310308292,,
aml_cicsa_5466,account.move.line,VEJ310308292,,
aml_cicsa_5467,account.move.line,VEJ310308292,,
aml_cicsa_5468,account.move.line,VEJ310308292,,
aml_cicsa_5469,account.move.line,VEJ310308292,,
aml_cicsa_5470,account.move.line,VEG200000031,,
aml_cicsa_5471,account.move.line,VEG200000031,,
aml_cicsa_5472,account.move.line,VEG200000031,,
aml_cicsa_5473,account.move.line,VEG200000031,,
aml_cicsa_5474,account.move.line,,409.00,base.USD
aml_cicsa_5475,account.move.line,,-409.00,base.USD
aml_cicsa_5476,account.move.line,VEJ000526621,,
aml_cicsa_5477,account.move.line,VEJ000526621,,
aml_cicsa_5478,account.move.line,VEJ000526621,,
aml_cicsa_5479,account.move.line,VEJ000526621,,
aml_cicsa_5480,account.move.line,VEJ002231050,,
aml_cicsa_5481,account.move.line,VEJ002231050,,
aml_cicsa_5482,account.move.line,VEJ070133805,,
aml_cicsa_5483,account.move.line,VEJ070133805,,
aml_cicsa_5484,account.move.line,VEV049726860,,
aml_cicsa_5485,account.move.line,VEV049726860,,
aml_cicsa_5486,account.move.line,VEJ001824421,,
aml_cicsa_5487,account.move.line,VEJ001824421,,
aml_cicsa_5488,account.move.line,VEJ001824421,,
aml_cicsa_5489,account.move.line,VEJ001824421,,
aml_cicsa_5490,account.move.line,VEJ001824421,,
aml_cicsa_5491,account.move.line,VEJ001824421,,
aml_cicsa_5492,account.move.line,VEJ001824421,,
aml_cicsa_5493,account.move.line,VEJ001824421,,
aml_cicsa_5494,account.move.line,VEJ001824421,,
aml_cicsa_5495,account.move.line,VEJ001824421,,
aml_cicsa_5496,account.move.line,VEJ001824421,,
aml_cicsa_5497,account.move.line,VEJ001824421,,
aml_cicsa_5498,account.move.line,VEJ001824421,,
aml_cicsa_5499,account.move.line,VEJ001824421,,
aml_cicsa_5500,account.move.line,VEJ001824421,,
aml_cicsa_5501,account.move.line,VEJ001824421,,
aml_cicsa_5502,account.move.line,VEJ001824421,,
aml_cicsa_5503,account.move.line,VEJ001824421,,
aml_cicsa_5504,account.move.line,VEJ001824421,,
aml_cicsa_5505,account.move.line,VEJ001824421,,
aml_cicsa_5506,account.move.line,VEJ001824421,,
aml_cicsa_5507,account.move.line,VEJ001824421,,
aml_cicsa_5508,account.move.line,VEJ001824421,,
aml_cicsa_5509,account.move.line,VEJ001824421,,
aml_cicsa_5510,account.move.line,VEJ001824421,,
aml_cicsa_5511,account.move.line,VEJ001824421,,
aml_cicsa_5512,account.move.line,VEJ001824421,,
aml_cicsa_5513,account.move.line,VEJ001824421,,
aml_cicsa_5514,account.move.line,VEJ001824421,,
aml_cicsa_5515,account.move.line,VEJ001824421,,
aml_cicsa_5516,account.move.line,VEJ313040045,,
aml_cicsa_5517,account.move.line,VEJ313040045,,
aml_cicsa_5518,account.move.line,VEJ313040045,,
aml_cicsa_5519,account.move.line,VEJ313040045,,
aml_cicsa_5520,account.move.line,VEJ313040045,,
aml_cicsa_5521,account.move.line,VEJ313040045,,
aml_cicsa_5522,account.move.line,VEJ313040045,,
aml_cicsa_5523,account.move.line,VEJ313040045,,
aml_cicsa_5524,account.move.line,VEJ313040045,,
aml_cicsa_5525,account.move.line,VEJ313040045,,
aml_cicsa_5526,account.move.line,VEJ313040045,,
aml_cicsa_5527,account.move.line,VEJ313040045,,
aml_cicsa_5528,account.move.line,VEJ313040045,,
aml_cicsa_5529,account.move.line,VEJ313040045,,
aml_cicsa_5530,account.move.line,VEJ313040045,,
aml_cicsa_5531,account.move.line,VEJ313040045,,
aml_cicsa_5532,account.move.line,VEJ313040045,,
aml_cicsa_5533,account.move.line,VEJ313040045,,
aml_cicsa_5534,account.move.line,VEJ313040045,,
aml_cicsa_5535,account.move.line,VEJ313040045,,
aml_cicsa_5536,account.move.line,,1121.45,base.USD
aml_cicsa_5537,account.move.line,,27.26,base.USD
aml_cicsa_5538,account.move.line,,47.70,base.USD
aml_cicsa_5539,account.move.line,,38.20,base.USD
aml_cicsa_5540,account.move.line,,27.29,base.USD
aml_cicsa_5541,account.move.line,,-1261.90,base.USD
aml_cicsa_5542,account.move.line,VEV102884619,,
aml_cicsa_5543,account.move.line,VEV102884619,,
aml_cicsa_5544,account.move.line,VEV102884619,,
aml_cicsa_5545,account.move.line,VEJ313040045,,
aml_cicsa_5546,account.move.line,VEJ313040045,,
aml_cicsa_5547,account.move.line,VEJ313040045,,
aml_cicsa_5548,account.move.line,VEJ313040045,,
aml_cicsa_5549,account.move.line,VEJ313040045,,
aml_cicsa_5550,account.move.line,VEJ313040045,,
aml_cicsa_5551,account.move.line,VEJ313040045,,
aml_cicsa_5552,account.move.line,VEJ313040045,,
aml_cicsa_5553,account.move.line,VEJ313040045,,
aml_cicsa_5554,account.move.line,VEJ308120219,,
aml_cicsa_5555,account.move.line,VEJ308120219,,
aml_cicsa_5556,account.move.line,VEJ308120219,,
aml_cicsa_5557,account.move.line,VEJ308120219,,
aml_cicsa_5558,account.move.line,VEJ308120219,,
aml_cicsa_5559,account.move.line,VEJ301406834,,
aml_cicsa_5560,account.move.line,VEJ301406834,,
aml_cicsa_5561,account.move.line,VEJ301406834,,
aml_cicsa_5562,account.move.line,VEJ301406834,,
aml_cicsa_5563,account.move.line,VEJ301406834,,
aml_cicsa_5564,account.move.line,VEJ301406834,,
