id,model,partner_id:id,amount_currency,currency_id:id
str,str,search;vat,str,ref
aml_cicsa_X01,account.move.line,,,
aml_cicsa_X02,account.move.line,,,
aml_cicsa_X03,account.move.line,,,
aml_cicsa_X04,account.move.line,,299054.21,base.USD
aml_cicsa_X05,account.move.line,VEJ299330264,,
aml_cicsa_X06,account.move.line,VEJ299330264,12735376.65,base.USD
aml_cicsa_X07,account.move.line,VEJ299330264,,
aml_cicsa_X08,account.move.line,VEJ299330264,23941990.59,base.USD
aml_cicsa_X09,account.move.line,VEJ315253321,528.61,base.USD
aml_cicsa_X10,account.move.line,VEJ297233610,528.61,base.USD
aml_cicsa_X11,account.move.line,VEJ311271708,528.61,base.USD
aml_cicsa_X12,account.move.line,VEJ311271465,336.42,base.USD
aml_cicsa_X13,account.move.line,VEJ315253321,7939.25,base.USD
aml_cicsa_X14,account.move.line,VEJ297233610,7939.25,base.USD
aml_cicsa_X15,account.move.line,VEJ311271708,7939.25,base.USD
aml_cicsa_X16,account.move.line,VEJ311271465,5052.25,base.USD
aml_cicsa_X17,account.move.line,VEJ315253321,38929.72,base.USD
aml_cicsa_X18,account.move.line,VEJ297233610,38929.72,base.USD
aml_cicsa_X19,account.move.line,VEJ311271708,38929.72,base.USD
aml_cicsa_X20,account.move.line,VEJ311271465,24773.46,base.USD
aml_cicsa_X21,account.move.line,VEJ315253321,,
aml_cicsa_X22,account.move.line,VEJ297233610,,
aml_cicsa_X23,account.move.line,VEJ311271708,,
aml_cicsa_X24,account.move.line,VEJ311271465,,
aml_cicsa_X25,account.move.line,VEJ315253321,,
aml_cicsa_X26,account.move.line,VEJ297233610,,
aml_cicsa_X27,account.move.line,VEJ311271708,,
aml_cicsa_X28,account.move.line,VEJ311271465,,
aml_cicsa_X29,account.move.line,VEJ315253321,,
aml_cicsa_X30,account.move.line,VEJ297233610,,
aml_cicsa_X31,account.move.line,VEJ311271708,,
aml_cicsa_X32,account.move.line,VEJ311271465,,
aml_cicsa_X33,account.move.line,VEJ315253321,,
aml_cicsa_X34,account.move.line,VEJ297233610,,
aml_cicsa_X35,account.move.line,VEJ311271708,,
aml_cicsa_X36,account.move.line,VEJ311271465,,
aml_cicsa_X37,account.move.line,VEJ315253321,,
aml_cicsa_X38,account.move.line,VEJ297233610,,
aml_cicsa_X39,account.move.line,VEJ311271708,,
aml_cicsa_X40,account.move.line,VEJ311271465,,
aml_cicsa_X41,account.move.line,VEJ315253321,,
aml_cicsa_X42,account.move.line,VEJ297233610,,
aml_cicsa_X43,account.move.line,VEJ311271708,,
aml_cicsa_X44,account.move.line,VEJ311271465,,
aml_cicsa_X45,account.move.line,VEJ315253321,,
aml_cicsa_X46,account.move.line,VEJ297233610,,
aml_cicsa_X47,account.move.line,VEJ311271708,,
aml_cicsa_X48,account.move.line,VEJ311271465,,
aml_cicsa_X49,account.move.line,VEJ315253321,,
aml_cicsa_X50,account.move.line,VEJ297233610,,
aml_cicsa_X51,account.move.line,VEJ311271708,,
aml_cicsa_X52,account.move.line,VEJ311271465,,
aml_cicsa_X53,account.move.line,VEJ315253321,,
aml_cicsa_X54,account.move.line,VEJ297233610,,
aml_cicsa_X55,account.move.line,VEJ311271708,,
aml_cicsa_X56,account.move.line,VEJ311271465,,
aml_cicsa_X57,account.move.line,VEJ315253321,,
aml_cicsa_X58,account.move.line,VEJ297233610,,
aml_cicsa_X59,account.move.line,VEJ311271708,,
aml_cicsa_X60,account.move.line,VEJ311271465,,
aml_cicsa_X61,account.move.line,VEJ315253321,,
aml_cicsa_X62,account.move.line,VEJ297233610,,
aml_cicsa_X63,account.move.line,VEJ311271708,,
aml_cicsa_X64,account.move.line,VEJ311271465,,
aml_cicsa_X65,account.move.line,VEJ315253321,,
aml_cicsa_X66,account.move.line,VEJ297233610,,
aml_cicsa_X67,account.move.line,VEJ311271708,,
aml_cicsa_X68,account.move.line,VEJ311271465,,
aml_cicsa_X69,account.move.line,VEJ315253321,,
aml_cicsa_X70,account.move.line,VEJ297233610,,
aml_cicsa_X71,account.move.line,VEJ311271708,,
