id,model,partner_id:id,amount_currency,currency_id:id
str,str,search;vat,str,ref
aml_cicsa_001,account.move.line,VEG200000031,,
aml_cicsa_002,account.move.line,VEG200000031,,
aml_cicsa_003,account.move.line,VEV061438331,,
aml_cicsa_004,account.move.line,VEV061438331,,
aml_cicsa_005,account.move.line,VEV061438331,,
aml_cicsa_006,account.move.line,VEV061438331,,
aml_cicsa_007,account.move.line,VEJ313040045,,
aml_cicsa_008,account.move.line,VEJ313040045,,
aml_cicsa_009,account.move.line,VEJ313040045,,
aml_cicsa_010,account.move.line,VEJ313040045,,
aml_cicsa_011,account.move.line,VEJ313040045,,
aml_cicsa_012,account.move.line,VEJ313040045,,
aml_cicsa_013,account.move.line,VEJ313040045,,
aml_cicsa_014,account.move.line,VEJ313040045,,
aml_cicsa_015,account.move.line,VEJ313040045,,
aml_cicsa_016,account.move.line,VEJ313040045,,
aml_cicsa_017,account.move.line,VEJ001824421,,
aml_cicsa_018,account.move.line,VEJ001824421,,
aml_cicsa_019,account.move.line,VEJ001824421,,
aml_cicsa_020,account.move.line,VEJ001824421,,
aml_cicsa_021,account.move.line,VEJ001824421,,
aml_cicsa_022,account.move.line,VEJ001824421,,
aml_cicsa_023,account.move.line,VEJ001824421,,
aml_cicsa_024,account.move.line,VEJ001824421,,
aml_cicsa_025,account.move.line,VEJ001824421,,
aml_cicsa_026,account.move.line,VEJ001824421,,
aml_cicsa_027,account.move.line,VEJ001824421,,
aml_cicsa_028,account.move.line,VEJ001824421,,
aml_cicsa_029,account.move.line,VEJ001824421,,
aml_cicsa_030,account.move.line,VEJ001824421,,
aml_cicsa_031,account.move.line,VEJ001824421,,
aml_cicsa_032,account.move.line,VEJ001824421,,
aml_cicsa_033,account.move.line,VEJ001824421,,
aml_cicsa_034,account.move.line,VEJ001824421,,
aml_cicsa_035,account.move.line,VEJ001824421,,
aml_cicsa_036,account.move.line,VEJ001824421,,
aml_cicsa_037,account.move.line,VEJ001824421,,
aml_cicsa_038,account.move.line,VEJ001824421,,
aml_cicsa_039,account.move.line,VEJ001824421,,
aml_cicsa_040,account.move.line,VEJ001824421,,
aml_cicsa_041,account.move.line,VEJ001824421,,
aml_cicsa_042,account.move.line,VEJ001824421,,
aml_cicsa_043,account.move.line,VEJ001824421,,
aml_cicsa_044,account.move.line,VEJ001824421,,
aml_cicsa_045,account.move.line,VEJ001824421,,
aml_cicsa_046,account.move.line,VEJ001824421,,
aml_cicsa_047,account.move.line,VEJ294668666,,
aml_cicsa_048,account.move.line,VEJ294668666,,
aml_cicsa_049,account.move.line,VEJ294668666,,
aml_cicsa_050,account.move.line,VEJ294668666,,
aml_cicsa_051,account.move.line,VEJ294668666,,
aml_cicsa_052,account.move.line,VEJ294668666,,
aml_cicsa_053,account.move.line,VEJ294668666,,
aml_cicsa_054,account.move.line,VEJ294668666,,
aml_cicsa_055,account.move.line,VEJ294668666,,
aml_cicsa_056,account.move.line,VEJ294668666,,
aml_cicsa_057,account.move.line,VEJ294668666,,
aml_cicsa_058,account.move.line,VEJ294668666,,
aml_cicsa_059,account.move.line,VEJ294668666,,
aml_cicsa_060,account.move.line,VEJ294668666,,
aml_cicsa_061,account.move.line,VEJ294668666,,
