id,model,partner_id:id,amount_currency,currency_id:id
str,str,search;vat,str,ref
aml_cicsa_4412,account.move.line,VEV110336493,,
aml_cicsa_4413,account.move.line,VEV110336493,,
aml_cicsa_4414,account.move.line,VEV110336493,,
aml_cicsa_4415,account.move.line,VEV110336493,,
aml_cicsa_4416,account.move.line,VEJ001241345,,
aml_cicsa_4417,account.move.line,VEJ001241345,,
aml_cicsa_4418,account.move.line,VEJ001241345,,
aml_cicsa_4419,account.move.line,VEJ001241345,,
aml_cicsa_4420,account.move.line,VEJ001241345,,
aml_cicsa_4421,account.move.line,VEJ001241345,,
aml_cicsa_4422,account.move.line,VEJ001241345,,
aml_cicsa_4423,account.move.line,VEJ001241345,,
aml_cicsa_4424,account.move.line,VEJ001241345,,
aml_cicsa_4425,account.move.line,VEJ300004937,,
aml_cicsa_4426,account.move.line,VEJ300004937,,
aml_cicsa_4427,account.move.line,VEJ300004937,,
aml_cicsa_4428,account.move.line,VEJ300004937,,
aml_cicsa_4429,account.move.line,VEJ001241345,,
aml_cicsa_4430,account.move.line,VEJ001241345,,
aml_cicsa_4431,account.move.line,VEJ001241345,,
aml_cicsa_4432,account.move.line,VEJ001241345,,
aml_cicsa_4433,account.move.line,VEJ309364391,,
aml_cicsa_4434,account.move.line,VEJ309364391,,
aml_cicsa_4435,account.move.line,VEJ315297876,,
aml_cicsa_4436,account.move.line,VEJ315297876,,
aml_cicsa_4437,account.move.line,VEJ315297876,,
aml_cicsa_4438,account.move.line,VEJ315297876,,
aml_cicsa_4439,account.move.line,VEJ302106834,,
aml_cicsa_4440,account.move.line,VEJ302106834,,
aml_cicsa_4441,account.move.line,VEV133184402,,
aml_cicsa_4442,account.move.line,VEV133184402,,
aml_cicsa_4443,account.move.line,VEV133184402,,
aml_cicsa_4444,account.move.line,VEV133184402,,
aml_cicsa_4445,account.move.line,VEJ003539554,,
aml_cicsa_4446,account.move.line,VEJ003539554,,
aml_cicsa_4447,account.move.line,VEJ003539554,,
