id,model,partner_id:id,amount_currency,currency_id:id
str,str,search;vat,str,ref
aml_cicsa_3857,account.move.line,VEJ306203117,,
aml_cicsa_3858,account.move.line,VEJ306203117,,
aml_cicsa_3859,account.move.line,VEJ306203117,,
aml_cicsa_3860,account.move.line,VEJ300077713,,
aml_cicsa_3861,account.move.line,VEJ300077713,,
aml_cicsa_3862,account.move.line,VEJ000815747,,
aml_cicsa_3863,account.move.line,VEJ000815747,,
aml_cicsa_3864,account.move.line,VEJ003439940,,
aml_cicsa_3865,account.move.line,VEJ003439940,,
aml_cicsa_3866,account.move.line,VEJ301406834,,
aml_cicsa_3867,account.move.line,VEJ301406834,,
aml_cicsa_3868,account.move.line,VEJ313040045,,
aml_cicsa_3869,account.move.line,VEJ313040045,,
aml_cicsa_3870,account.move.line,VEJ313040045,,
aml_cicsa_3871,account.move.line,VEJ313040045,,
aml_cicsa_3872,account.move.line,VEJ313040045,,
aml_cicsa_3873,account.move.line,VEJ313040045,,
aml_cicsa_3874,account.move.line,VEJ313040045,,
aml_cicsa_3875,account.move.line,VEJ313040045,,
aml_cicsa_3876,account.move.line,VEJ313040045,,
aml_cicsa_3877,account.move.line,VEJ313040045,,
aml_cicsa_3878,account.move.line,VEJ313040045,,
aml_cicsa_3879,account.move.line,VEJ313040045,,
aml_cicsa_3880,account.move.line,VEJ313040045,,
aml_cicsa_3881,account.move.line,VEJ400406811,,
aml_cicsa_3882,account.move.line,VEJ400406811,,
aml_cicsa_3883,account.move.line,VEJ400406811,,
aml_cicsa_3884,account.move.line,VEJ302106834,,
aml_cicsa_3885,account.move.line,VEJ302106834,,
aml_cicsa_3886,account.move.line,VEJ303738001,,
aml_cicsa_3887,account.move.line,VEJ303738001,,
aml_cicsa_3888,account.move.line,VEJ303738001,,
aml_cicsa_3889,account.move.line,VEJ303738001,,
aml_cicsa_3890,account.move.line,VEJ303738001,,
aml_cicsa_3891,account.move.line,VEG200000031,,
aml_cicsa_3892,account.move.line,VEG200000031,,
aml_cicsa_3893,account.move.line,VEG200000031,,
aml_cicsa_3894,account.move.line,VEG200000031,,
aml_cicsa_3895,account.move.line,VEV089702840,,
aml_cicsa_3896,account.move.line,VEV089702840,,
aml_cicsa_3897,account.move.line,VEV089702840,,
aml_cicsa_3898,account.move.line,VEV089702840,,
aml_cicsa_3899,account.move.line,VEV089702840,,
aml_cicsa_3900,account.move.line,VEV089702840,,
aml_cicsa_3901,account.move.line,VEV089702840,,
aml_cicsa_3902,account.move.line,VEV089702840,,
aml_cicsa_3903,account.move.line,VEV089702840,,
aml_cicsa_3904,account.move.line,,,
aml_cicsa_3905,account.move.line,,,
aml_cicsa_3906,account.move.line,VEJ303982271,,
aml_cicsa_3907,account.move.line,VEJ303982271,,
aml_cicsa_3908,account.move.line,VEJ303982271,,
aml_cicsa_3909,account.move.line,VEJ303982271,,
aml_cicsa_3910,account.move.line,VEJ303982271,,
aml_cicsa_3911,account.move.line,VEJ302106834,,
aml_cicsa_3912,account.move.line,VEJ302106834,,
aml_cicsa_3913,account.move.line,VEJ302106834,,
aml_cicsa_3914,account.move.line,VEJ302106834,,
aml_cicsa_3915,account.move.line,VEJ302106834,,
aml_cicsa_3916,account.move.line,VEJ302106834,,
aml_cicsa_3917,account.move.line,VEJ302106834,,
aml_cicsa_3918,account.move.line,VEJ001241345,,
aml_cicsa_3919,account.move.line,VEJ001241345,,
aml_cicsa_3920,account.move.line,VEJ001241345,,
aml_cicsa_3921,account.move.line,VEJ001241345,,
aml_cicsa_3922,account.move.line,VEJ001241345,,
aml_cicsa_3923,account.move.line,,272455.14,base.USD
aml_cicsa_3924,account.move.line,,-272455.14,base.USD
aml_cicsa_3925,account.move.line,VEJ309364391,,
aml_cicsa_3926,account.move.line,VEJ309364391,,
aml_cicsa_3927,account.move.line,VEJ309364391,,
aml_cicsa_3928,account.move.line,VEJ309364391,,
aml_cicsa_3929,account.move.line,,228600.00,base.USD
aml_cicsa_3930,account.move.line,,-228600.00,base.USD
aml_cicsa_3931,account.move.line,VEJ085065903,,
aml_cicsa_3932,account.move.line,VEJ085065903,,
aml_cicsa_3933,account.move.line,VEJ085065903,,
aml_cicsa_3934,account.move.line,VEJ085065903,,
aml_cicsa_3935,account.move.line,VEJ085065903,,
aml_cicsa_3936,account.move.line,VEJ085065903,,
aml_cicsa_3937,account.move.line,VEJ085065903,,
aml_cicsa_3938,account.move.line,VEJ085065903,,
aml_cicsa_3939,account.move.line,VEJ085065903,,
aml_cicsa_3940,account.move.line,VEJ085065903,,
aml_cicsa_3941,account.move.line,VEJ085065903,,
aml_cicsa_3942,account.move.line,VEJ085065903,,
aml_cicsa_3943,account.move.line,VEJ085065903,,
aml_cicsa_3944,account.move.line,VEJ085065903,,
aml_cicsa_3945,account.move.line,VEJ085065903,,
aml_cicsa_3946,account.move.line,VEJ085065903,,
aml_cicsa_3947,account.move.line,VEJ085065903,,
aml_cicsa_3948,account.move.line,VEJ085065903,,
