id,model,partner_id:id,amount_currency,currency_id:id
str,str,search;vat,str,ref
aml_cicsa_march_001,account.move.line,VEG200000031,,
aml_cicsa_march_002,account.move.line,VEG200000031,,
aml_cicsa_march_003,account.move.line,VEG200000031,,
aml_cicsa_march_004,account.move.line,VEG200000031,,
aml_cicsa_march_005,account.move.line,VEG200000031,,
aml_cicsa_march_006,account.move.line,VEJ313040045,,
aml_cicsa_march_007,account.move.line,VEJ313040045,,
aml_cicsa_march_008,account.move.line,VEJ313040045,,
aml_cicsa_march_009,account.move.line,VEJ313040045,,
aml_cicsa_march_010,account.move.line,VEJ313040045,,
aml_cicsa_march_011,account.move.line,VEJ313040045,,
aml_cicsa_march_012,account.move.line,VEJ313040045,,
aml_cicsa_march_013,account.move.line,VEJ313040045,,
aml_cicsa_march_014,account.move.line,VEJ313040045,,
aml_cicsa_march_015,account.move.line,VEJ313040045,,
aml_cicsa_march_016,account.move.line,VEJ313040045,,
aml_cicsa_march_017,account.move.line,VEJ313040045,,
aml_cicsa_march_018,account.move.line,VEJ313040045,,
aml_cicsa_march_019,account.move.line,VEJ313040045,,
aml_cicsa_march_020,account.move.line,VEJ313040045,,
aml_cicsa_march_021,account.move.line,VEJ000526621,427.00,base.USD
aml_cicsa_march_022,account.move.line,VEJ000526621,-427.00,base.USD
aml_cicsa_march_023,account.move.line,VEJ000526621,25.00,base.USD
aml_cicsa_march_024,account.move.line,VEJ000526621,-25.00,base.USD
aml_cicsa_march_025,account.move.line,VEJ000526621,,
aml_cicsa_march_026,account.move.line,VEJ000526621,,
aml_cicsa_march_027,account.move.line,VEJ313040045,,
aml_cicsa_march_028,account.move.line,VEJ313040045,,
aml_cicsa_march_029,account.move.line,,16380.00,base.USD
aml_cicsa_march_030,account.move.line,,-16380.00,base.USD
aml_cicsa_march_031,account.move.line,VEV110336493,,
aml_cicsa_march_032,account.move.line,VEV110336493,,
aml_cicsa_march_033,account.move.line,VEJ003439940,,
aml_cicsa_march_034,account.move.line,VEJ003439940,,
aml_cicsa_march_035,account.move.line,VEJ003439940,,
aml_cicsa_march_036,account.move.line,VEJ003439940,,
aml_cicsa_march_037,account.move.line,VEJ003439940,,
aml_cicsa_march_038,account.move.line,VEJ085065903,,
aml_cicsa_march_039,account.move.line,VEJ085065903,,
aml_cicsa_march_040,account.move.line,VEJ085065903,,
aml_cicsa_march_041,account.move.line,VEJ085065903,,
aml_cicsa_march_042,account.move.line,VEJ085065903,,
aml_cicsa_march_043,account.move.line,VEV045344734,,
aml_cicsa_march_044,account.move.line,VEV045344734,,
aml_cicsa_march_045,account.move.line,VEV045344734,,
aml_cicsa_march_046,account.move.line,VEV045344734,,
aml_cicsa_march_047,account.move.line,VEV045344734,,
aml_cicsa_march_048,account.move.line,VEJ297599070,,
aml_cicsa_march_049,account.move.line,VEJ297599070,,
aml_cicsa_march_050,account.move.line,VEJ297599070,,
aml_cicsa_march_051,account.move.line,VEJ297599070,,
aml_cicsa_march_052,account.move.line,VEJ297599070,,
aml_cicsa_march_053,account.move.line,VEJ297599070,,
aml_cicsa_march_054,account.move.line,VEJ297599070,,
aml_cicsa_march_055,account.move.line,VEJ297599070,,
