id,model,partner_id:id,amount_currency,currency_id:id
str,str,search;vat,str,ref
aml_cicsa_3013,account.move.line,,,
aml_cicsa_3014,account.move.line,,,
aml_cicsa_3015,account.move.line,VEG200000031,,
aml_cicsa_3016,account.move.line,VEG200000031,,
aml_cicsa_3017,account.move.line,VEG200000031,,
aml_cicsa_3018,account.move.line,VEG200000031,,
aml_cicsa_3019,account.move.line,VEJ303900909,,
aml_cicsa_3020,account.move.line,VEJ303900909,,
aml_cicsa_3021,account.move.line,VEJ303900909,,
aml_cicsa_3022,account.move.line,VEJ303900909,,
aml_cicsa_3023,account.move.line,VEJ303900909,,
aml_cicsa_3024,account.move.line,VEJ303900909,,
aml_cicsa_3025,account.move.line,VEJ303900909,,
aml_cicsa_3026,account.move.line,VEJ303900909,,
aml_cicsa_3027,account.move.line,VEJ303900909,,
aml_cicsa_3028,account.move.line,VEJ303900909,,
aml_cicsa_3029,account.move.line,VEJ303900909,,
aml_cicsa_3030,account.move.line,VEJ303900909,,
aml_cicsa_3031,account.move.line,VEJ303900909,,
aml_cicsa_3032,account.move.line,VEJ303900909,,
aml_cicsa_3033,account.move.line,VEJ303900909,,
aml_cicsa_3034,account.move.line,VEJ303900909,,
aml_cicsa_3035,account.move.line,VEJ303900909,,
aml_cicsa_3036,account.move.line,VEJ303900909,,
aml_cicsa_3037,account.move.line,VEJ303900909,,
aml_cicsa_3038,account.move.line,VEJ303900909,,
aml_cicsa_3039,account.move.line,VEJ303900909,,
aml_cicsa_3040,account.move.line,VEJ303900909,,
aml_cicsa_3041,account.move.line,VEJ303900909,,
aml_cicsa_3042,account.move.line,VEJ303900909,,
aml_cicsa_3043,account.move.line,VEJ303900909,,
aml_cicsa_3044,account.move.line,VEJ303900909,,
aml_cicsa_3045,account.move.line,VEJ303900909,,
aml_cicsa_3046,account.move.line,VEJ303900909,,
aml_cicsa_3047,account.move.line,VEJ303900909,,
aml_cicsa_3048,account.move.line,VEJ303900909,,
aml_cicsa_3049,account.move.line,VEJ303900909,,
aml_cicsa_3050,account.move.line,VEJ303900909,,
aml_cicsa_3051,account.move.line,VEJ303900909,,
aml_cicsa_3052,account.move.line,VEJ303900909,,
aml_cicsa_3053,account.move.line,VEJ303900909,,
aml_cicsa_3054,account.move.line,VEJ303900909,,
aml_cicsa_3055,account.move.line,VEJ303900909,,
aml_cicsa_3056,account.move.line,VEJ306203117,,
aml_cicsa_3057,account.move.line,VEJ306203117,,
aml_cicsa_3058,account.move.line,VEJ306203117,,
aml_cicsa_3059,account.move.line,VEJ306203117,,
aml_cicsa_3060,account.move.line,VEJ306203117,,
aml_cicsa_3061,account.move.line,VEJ306203117,,
aml_cicsa_3062,account.move.line,VEJ306203117,,
aml_cicsa_3063,account.move.line,VEJ306203117,,
aml_cicsa_3064,account.move.line,VEJ306203117,,
aml_cicsa_3065,account.move.line,VEJ306203117,,
aml_cicsa_3066,account.move.line,VEJ306203117,,
aml_cicsa_3067,account.move.line,VEJ306203117,,
aml_cicsa_3068,account.move.line,VEJ306203117,,
aml_cicsa_3069,account.move.line,VEJ306203117,,
aml_cicsa_3070,account.move.line,VEJ310308292,,
aml_cicsa_3071,account.move.line,VEJ310308292,,
aml_cicsa_3072,account.move.line,VEJ310308292,,
aml_cicsa_3073,account.move.line,VEJ310308292,,
aml_cicsa_3074,account.move.line,VEJ310308292,,
aml_cicsa_3075,account.move.line,VEJ310308292,,
aml_cicsa_3076,account.move.line,VEJ310308292,,
aml_cicsa_3077,account.move.line,VEJ310308292,,
aml_cicsa_3078,account.move.line,VEJ000815747,,
aml_cicsa_3079,account.move.line,VEJ000815747,,
aml_cicsa_3080,account.move.line,VEJ000815747,,
aml_cicsa_3081,account.move.line,VEJ000815747,,
aml_cicsa_3082,account.move.line,VEJ000815747,,
aml_cicsa_3083,account.move.line,VEJ313040045,,
aml_cicsa_3084,account.move.line,VEJ313040045,,
aml_cicsa_3085,account.move.line,VEJ313040045,,
aml_cicsa_3086,account.move.line,VEJ313040045,,
aml_cicsa_3087,account.move.line,VEJ313040045,,
aml_cicsa_3088,account.move.line,VEJ313040045,,
aml_cicsa_3089,account.move.line,VEJ313040045,,
aml_cicsa_3090,account.move.line,VEJ313040045,,
aml_cicsa_3091,account.move.line,VEJ313040045,,
aml_cicsa_3092,account.move.line,VEJ313040045,,
aml_cicsa_3093,account.move.line,VEJ313040045,,
aml_cicsa_3094,account.move.line,VEJ313040045,,
aml_cicsa_3095,account.move.line,VEJ313040045,,
aml_cicsa_3096,account.move.line,VEJ313040045,,
aml_cicsa_3097,account.move.line,VEJ313040045,,
aml_cicsa_3098,account.move.line,VEJ308120219,,
aml_cicsa_3099,account.move.line,VEJ308120219,,
aml_cicsa_3100,account.move.line,VEJ308120219,,
aml_cicsa_3101,account.move.line,VEJ308120219,,
aml_cicsa_3102,account.move.line,VEJ308120219,,
aml_cicsa_3103,account.move.line,VEJ306585788,,
aml_cicsa_3104,account.move.line,VEJ306585788,,
aml_cicsa_3105,account.move.line,VEJ306585788,,
aml_cicsa_3106,account.move.line,VEJ306585788,,
aml_cicsa_3107,account.move.line,VEJ301406834,,
aml_cicsa_3108,account.move.line,VEJ301406834,,
aml_cicsa_3109,account.move.line,VEJ301406834,,
aml_cicsa_3110,account.move.line,VEJ301406834,,
aml_cicsa_3111,account.move.line,VEJ301406834,,
aml_cicsa_3112,account.move.line,VEJ301406834,,
aml_cicsa_3113,account.move.line,VEJ301406834,,
aml_cicsa_3114,account.move.line,VEJ301406834,,
aml_cicsa_3115,account.move.line,VEJ301406834,,
aml_cicsa_3116,account.move.line,VEJ294668666,,
aml_cicsa_3117,account.move.line,VEJ294668666,,
aml_cicsa_3118,account.move.line,VEJ294668666,,
aml_cicsa_3119,account.move.line,VEJ294668666,,
aml_cicsa_3120,account.move.line,VEJ294668666,,
aml_cicsa_3121,account.move.line,VEJ294668666,,
aml_cicsa_3122,account.move.line,VEJ294668666,,
aml_cicsa_3123,account.move.line,VEJ294668666,,
aml_cicsa_3124,account.move.line,VEJ294668666,,
aml_cicsa_3125,account.move.line,VEJ294668666,,
aml_cicsa_3126,account.move.line,VEJ302106834,,
aml_cicsa_3127,account.move.line,VEJ302106834,,
aml_cicsa_3128,account.move.line,VEJ302106834,,
aml_cicsa_3129,account.move.line,VEJ302106834,,
aml_cicsa_3130,account.move.line,VEJ302106834,,
aml_cicsa_3131,account.move.line,VEJ302106834,,
aml_cicsa_3132,account.move.line,VEJ302106834,,
aml_cicsa_3133,account.move.line,VEJ302106834,,
aml_cicsa_3134,account.move.line,VEJ302106834,,
aml_cicsa_3135,account.move.line,VEJ302106834,,
aml_cicsa_3136,account.move.line,VEJ302106834,,
aml_cicsa_3137,account.move.line,VEJ306203117,,
aml_cicsa_3138,account.move.line,VEJ306203117,,
aml_cicsa_3139,account.move.line,VEJ306203117,,
