id,model,name,ref,date,period_id:id,journal_id:id
str,str,str,str,str,ref,ref
am_cicsa_19000000164,account.move,Comp-19000000164,Asientos Transacciones Marzo,2014-03-06,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000165,account.move,Comp-19000000165,Asientos Transacciones Marzo,2014-03-06,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000166,account.move,Comp-19000000166,Asientos Transacciones Marzo,2014-03-07,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000167,account.move,Comp-19000000167,Asientos Transacciones Marzo,2014-03-10,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000168,account.move,Comp-19000000168,Asientos Transacciones Marzo,2014-03-10,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000169,account.move,Comp-19000000169,Asientos Transacciones Marzo,2014-03-10,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000170,account.move,Comp-19000000170,Asientos Transacciones Marzo,2014-03-11,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_20000000022,account.move,Comp-20000000022,Asientos Transacciones Marzo,2014-03-11,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000171,account.move,Comp-19000000171,Asientos Transacciones Marzo,2014-03-11,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000172,account.move,Comp-19000000172,Asientos Transacciones Marzo,2014-03-11,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000173,account.move,Comp-19000000173,Asientos Transacciones Marzo,2014-03-11,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000174,account.move,Comp-19000000174,Asientos Transacciones Marzo,2014-03-11,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000175,account.move,Comp-19000000175,Asientos Transacciones Marzo,2014-03-11,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000176,account.move,Comp-19000000176,Asientos Transacciones Marzo,2014-03-11,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000177,account.move,Comp-19000000177,Asientos Transacciones Marzo,2014-03-11,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000178,account.move,Comp-19000000178,Asientos Transacciones Marzo,2014-03-11,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000179,account.move,Comp-19000000179,Asientos Transacciones Marzo,2014-03-11,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000180,account.move,Comp-19000000180,Asientos Transacciones Marzo,2014-03-11,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000181,account.move,Comp-19000000181,Asientos Transacciones Marzo,2014-03-11,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000182,account.move,Comp-19000000182,Asientos Transacciones Marzo,2014-03-11,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000183,account.move,Comp-19000000183,Asientos Transacciones Marzo,2014-03-11,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000184,account.move,Comp-19000000184,Asientos Transacciones Marzo,2014-03-11,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000185,account.move,Comp-19000000185,Asientos Transacciones Marzo,2014-03-11,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000186,account.move,Comp-19000000186,Asientos Transacciones Marzo,2014-03-11,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000187,account.move,Comp-19000000187,Asientos Transacciones Marzo,2014-03-11,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000188,account.move,Comp-19000000188,Asientos Transacciones Marzo,2014-03-11,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000189,account.move,Comp-19000000189,Asientos Transacciones Marzo,2014-03-11,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000190,account.move,Comp-19000000190,Asientos Transacciones Marzo,2014-03-11,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000191,account.move,Comp-19000000191,Asientos Transacciones Marzo,2014-03-13,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000192,account.move,Comp-19000000192,Asientos Transacciones Marzo,2014-03-13,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000193,account.move,Comp-19000000193,Asientos Transacciones Marzo,2014-03-13,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000194,account.move,Comp-19000000194,Asientos Transacciones Marzo,2014-03-13,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000195,account.move,Comp-19000000195,Asientos Transacciones Marzo,2014-03-20,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000196,account.move,Comp-19000000196,Asientos Transacciones Marzo,2014-03-20,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000197,account.move,Comp-19000000197,Asientos Transacciones Marzo,2014-03-20,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000198,account.move,Comp-19000000198,Asientos Transacciones Marzo,2014-03-20,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000199,account.move,Comp-19000000199,Asientos Transacciones Marzo,2014-03-20,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000200,account.move,Comp-19000000200,Asientos Transacciones Marzo,2014-03-21,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000201,account.move,Comp-19000000201,Asientos Transacciones Marzo,2014-03-21,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000202,account.move,Comp-19000000202,Asientos Transacciones Marzo,2014-03-21,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000203,account.move,Comp-19000000203,Asientos Transacciones Marzo,2014-03-21,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
am_cicsa_19000000204,account.move,Comp-19000000204,Asientos Transacciones Marzo,2014-03-21,cicsa_data.ap_cicsa_03,cicsa_data.aj_cicsa_general
