id,model,name,ref,date,period_id:id,journal_id:id
str,str,str,str,str,ref,ref
am_cicsa_19000000342,account.move,Comp-19000000342,Asientos Transacciones Mayo,2014-05-07,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000343,account.move,Comp-19000000343,Asientos Transacciones Mayo,2014-05-07,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_20000000095,account.move,Comp-20000000095,Asientos Transacciones Mayo,2014-05-08,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000344,account.move,Comp-19000000344,Asientos Transacciones Mayo,2014-05-12,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000345,account.move,Comp-19000000345,Asientos Transacciones Mayo,2014-05-12,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000346,account.move,Comp-19000000346,Asientos Transacciones Mayo,2014-05-12,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000347,account.move,Comp-19000000347,Asientos Transacciones Mayo,2014-05-12,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000348,account.move,Comp-19000000348,Asientos Transacciones Mayo,2014-05-12,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000349,account.move,Comp-19000000349,Asientos Transacciones Mayo,2014-05-12,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000350,account.move,Comp-19000000350,Asientos Transacciones Mayo,2014-05-12,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000351,account.move,Comp-19000000351,Asientos Transacciones Mayo,2014-05-12,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000352,account.move,Comp-19000000352,Asientos Transacciones Mayo,2014-05-12,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000353,account.move,Comp-19000000353,Asientos Transacciones Mayo,2014-05-12,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000354,account.move,Comp-19000000354,Asientos Transacciones Mayo,2014-05-13,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000355,account.move,Comp-19000000355,Asientos Transacciones Mayo,2014-05-13,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000356,account.move,Comp-19000000356,Asientos Transacciones Mayo,2014-05-13,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000357,account.move,Comp-19000000357,Asientos Transacciones Mayo,2014-05-13,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000358,account.move,Comp-19000000358,Asientos Transacciones Mayo,2014-05-13,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000359,account.move,Comp-19000000359,Asientos Transacciones Mayo,2014-05-13,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000360,account.move,Comp-19000000360,Asientos Transacciones Mayo,2014-05-13,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000361,account.move,Comp-19000000361,Asientos Transacciones Mayo,2014-05-13,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000362,account.move,Comp-19000000362,Asientos Transacciones Mayo,2014-05-13,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_19000000363,account.move,Comp-19000000363,Asientos Transacciones Mayo,2014-05-14,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
